,PrimaryDiscipline,Count
0,"History, General",237
1,"Interdisciplinary Studies, General",186
2,"Philosophy, General",71
3,U.S. History,66
4,Archaeology,41
5,Music History and Criticism,38
6,British Literature,36
7,"Literature, General",33
8,Art History and Criticism,32
9,English,31
10,"Social Sciences, General",29
11,Classics,18
12,"Arts, General",18
13,American Literature,17
14,Linguistics,16
15,Comparative Literature,14
16,"Languages, General",13
17,"Political Science, General",11
18,Jurisprudence,9
19,French Literature,9
20,Art History,7
21,History of Religion,6
22,Spanish Literature,6
23,Classical Languages,6
24,Spanish Language,6
25,Theater History and Criticism,5
26,French Language,5
27,Anthropology,4
28,American Studies,4
29,"History and Philosophy of Science, Technology, and Medicine",3
30,African American Studies,3
31,Comparative Languages,2
32,Russian Literature,2
33,German Language,2
34,Sociology,2
35,Asian Languages,1
36,Dance History and Criticism,1
37,"Literature, Other",1
38,Media Studies,1
39,Psychology,1
40,Education,1
41,Hispanic American Studies,1
42,Law and Jurisprudence,1
43,German Literature,1
44,"Religion, General",1
45,Italian Literature,1
46,Classical History,1
47,East Asian History,1
48,Ancient Literature,1
49,Ancient History,1
50,Philosophy of Religion,1
51,Literary Criticism,1
52,Ancient Languages,1
53,Communications,1
54,Arabic Literature,1
55,Architecture,1
56,Economics,1
