8,RF-50008-09,"Parallel vetted publication of the NEH sponsored project ""Visualizing Statues in the Late Antique Roman Forum""",,Gregor Kalas,Journal,Urban History,,,,,,Visualizing Statues in the Late Antique Roman Forum,2011
21,RZ-50577-06,"This comparative study of late nineteenth century Britain and France examines regional and local patterns of rural change in relation to the expansion of railways, the agrarian crisis, and the responses to the crisis by the governments and farmers of the two countries.  Using spatial statistics and Geographically Weighted Regression (GWR) to identify spatially varying relationships in case studies of Dorset County in England and the Allier Department in France, it shows that railways facilitated the shift from cereal production to livestock and dairy farming during the era of agrarian crisis. More broadly, it concludes that the differing political economies of Britain and France led to different trade and railway policies during the crisis and to different agrarian outcomes in which agricultural productivity declined in Britain and improved in France.",,Robert M. Schwartz,Journal,Social Science History,,,,,,"“Rail Transport, Agrarian Crisis, and the Restructuring of Agriculture: France and Great Britain Con",2010
22,RZ-50577-06,"This comparative spatial history combines historical narrative, geographical thinking, and spatial analysis of historical data to offer new perspectives on railway expansion and its effects in France and Great Britain during the long nineteenth-century. After describing the expansion across time and state territories, it looks not to cities but to the countryside to gauge some economic and social effects of railways in the rural regions of the countries.  Accessible rail transport opened new economic opportunities in agriculture, extractive industries, and service trades. It helped revitalize rural communities favored by ready rail access and reduced their rates of out migration.  In France, long-standing economic disparities between the developed north and the less-productive south were gradually reduced. In making the argument, we apply historical GIS and spatial statistics, illustrating one new component of interdisciplinary spatial history.",,"Thomas Thevenin, Robert M. Schwartz, Ian N. Gregory",Journal,"Journal of Interdisciplinary History ",,,MIT Press,,,"“Spatial History: Railways, Uneven Development, and Population Change in France and Great Britain, 1",2011
24,RZ-50577-06,"One of the early drivers of historical GIS was the development of national historical GISs. These systems usually hold all of a country's census and related statistics from the nineteenth and twentieth centuries. As such they have represent an extremely valuable resource, but at the same time they were and remain extremely expensive and time consuming to build. Was the investment worthwhile? This paper takes one of these systems, the Great Britain Historical GIS, and explores how it was built, what methodologies were developed to exploit the data that it contains, and provides an example to demonstrate how it made possible a unique analysis of railroads in Wales before the First World War.",,"Robert M. Schwartz, Ian Gregory",Journal,International Journal of Humanities and Arts Computing,http://www.euppublishing.com/toc/ijhac/3/1-2,Journal website,University of Edinburgh Press,,,National Historical Geographical Information System as a Tool For Historical Research,2009
29,RZ-51159-10,"A Wilderness, as defined by the 1964 Congressional Act is, ""in contrast with those areas where man and his own works dominate the landscape, [wilderness] is hereby recognized as an area where the earth and its community of life are untrammeled by man, where man himself is a visitor who does not remain."" Given this definition, human history is often neglected in wilderness literature. This is especially true of places like the Selway-Bitterroot Wilderness, the third largest of such areas in the continental U.S. as well as one of the most remote. Yet, however, ""untrammeled"" this landscape appears to be, in fact it has a complex human history. Representing this history is best done through the medium of oral narrative since orality holds the ability to preserve a sense of time and place, and sound is the fullest way to transform a real space into an imaginary one.",,Debbie Lee,Journal,Oral History Review (2010) 37 (2): 235-248.,http://ohr.oxfordjournals.org/,,Oxford University Press,,,Listening to the Land: The Selway-Bitterroot Wilderness as Oral History,2010
38,PW-50500-10,"Each word tells its own story, a statement which has now the nature of a ""general truth"" articulated in the standard histories of the English language. Occasionally, however, the stories of the most basic words of the language do not receive the attention they deserve. The word ‘heat' in Old English displays an interesting array of literal and figurative senses. High temperature (of the sun, a fire, etc.), hot condition of the atmosphere, one of the four elements / bodily humors, condition of the body (both its natural / vital heat and the high temperature caused by sickness / fever) -- all form part of its conceptual universe. From these senses cognitive metaphors arise, figurative transpositions which work because we are conscious of the literal meaning of the word. This paper will explore the different senses of polysemous ‘heat' in Old English with a view to its later development in Chaucer's metaphors of love.",,Antonette diPaolo Healey,Journal,"Studies in English Medieval Language and Literature, 25",,,Peter Lang,,,"""'Heat' in Old English and in Chaucer's Creation of Metaphors of Love""",2010
39,PW-50500-10,"Anglo-Saxon use of the word 'head' offers insights into the early history of our language. In its literal, transferred, and figurative senses, it resists easy categorization and presents a range of complexity, especially in respect to the notion of 'elevation'. However, there is clear evidence that 'elevation' is not always the feature intended.",,Antonette diPaolo Healey,Journal,"Poetica, An International Journal of Linguistic-Literary Studies, 75",,,Yushudo (Tokyo),,,"""Old English heafod 'head': A Lofty Place?""",2011
40,FA-55425-10,not available,,Jann Pasler,Journal,"Afrika Zamani (Journal of the Association of African Historians), ed. Ibrahima Thioub, ",,,,,,"“Musical Hybridity in Flux: Representing Race, Colonial Policy, and Modernity in French North Africa, 1860s-1930s,” ",2012
41,FA-55425-10,not available,,Jann Pasler,,"Musique, Images, 	Instruments (Revue francaise d’organologie et d’iconographie musicale) ",,,,,," “Listening to Race and Nation: Music at the l’Exposition 1889, ” ",2013
45,FT-51063-03,"In the Critique of Pure Reason, Kant sas, ""[A]ll the actions of human being are etermined in accord with the order of nature,"" adding that ""if we could investigate all of the appearances...there would be no human action we could ot predict with certainity""",,Patrick R. Frierson,,,www.philosophersimprint.org/005007,Philosophers' Imprint,,,,Kant's Empirical Account of Human Action,2005
46,FT-43185-98,Nowadays cinema and other arts and old marriage partners. Then they would barely acknowledge each other's existence with a nod.  Iris was essential queen pin of the battle to make them better acquainted.,,Leslie K. Hankins,Other,"MLA, San Diego, December 27",,,The Johns Hopkins University Press,,,"Virginia Woolf &amp; Cineastes in the Little Reivew, The New Criterion and the British Vogue",2004
47,FT-51302-03,Juger: de L'Affaire Aragon a la Misere de la poesie,,James Petterson,,Revue Des Sciences Humaines,,,,,,Poesie en proces,2004
51,FB-55043-10,"Forthcoming in issue 2.2  This essay undertakes to review and assess a range of current theories concerning one particular dimension of the ""who/what is a Jew"" question as it has arisen among scholars of antiquity: namely, the origins of ""Jew(s)"" and their relation to the categories ""Judaean(s)"" and ""Judaism."" ",,Cynthia M. Baker,Journal,Journal of Ancient Judaism,http://www.v-r.de/de/Journal-of-Ancient-Judaism/z/500060/,Journal website.,"Vandenhoeck &amp; Ruprecht ",,,"A ""Jew"" By Any Other Name?",2011
52,HD-51129-10,"What do a group of fifth-graders, digital technologies and Kent's history have in common? That is the GeoHistorian Project, an initiative from Kent State University's Research Center for Educational Technology that is funded by the National Endowment for the Humanities. The project teaches students to become local historians who create stories that are shared with the community at large.",Open,Mark van 't Hooft,Other,The Kent Historian,http://kentohiohistory.org/newsletters/newsletters files/Spring%202011%20a.pdf,link to the Kent Historian. Article is on pp. 4-5.,Kent Historical Society,,,Kent fifth-graders become local historians,2011
84,PC-50063-07,"The International Conference of Digital Archives and Digital Humanities. Taipei, Taiwan. Dec 1-2, 2009.",,"Han, Y &amp; Rawan, A",,,,,,,,Digital Archiving and Preservaton: A Unique collection in Humanities,2009
