170,PW-50845-11,"The City of Petersburg chancery records scanning project officially began on Friday June 3! The first 50 boxes of case-files were loaded for transfer to LVA's digital vendor (Backstage Library Works) in Bethlehem, Pennsylvania. Imaging of these fragile court papers will begin next week and resulting images will be posted to the Chancery Records Index (CRI) after ensuring they meet strict preservation and quality control standards. The records date from 1787 to 1912 and consist of 150 cubic feet, including bills of complaint, affidavits, wills, business records, correspondence, and photographs.&#x0D; &#x0D; ",Carl childs,Out of the Box,2011-06-07,http://www.virginiamemory.com/blogs/out of the box/?s=NEH,,,,And They’re Off Too!,http://www.virginiamemory.com
206,GM-50163-04,"Feature on Linkon Avenue: On-line blog featuring Youngstown State University Professor Sherry Linkon's interviews with Guest Curator Dale Rosengarten and Lowcountry basket maker Nakia Wigfall in connection with the NEH on the Road exhibition, ""Grass Roots."" Blog post was also connected to a radio broadcast on WYSU that is unfortunately no longer available on-line.","Sherry Linkon, PhD","Linkon Avenue - ongoing blog for Professor Sherry Linkon at Youngstown State University. ",2009-06-29,http://linkonavenue.blogspot.com/2009/06/grass-roots-preserving-community.html,Direct link to the archived feature on the blog,,,"""Grass Roots: Preserving Community through Art""",http://linkonavenue.blogspot.com/
279,PW-50845-11,"This blog post announces the posting of the first batch of scanned chancery records dating from 1803-1845. The entry highlights several ""cases of signifigance"" or interest and includes images of key documents.",Vincent Brooks,,2011-09-21,http://www.virginiamemory.com/blogs/out of the box/2011/09/21/petersburg-chancery-reveals-rich-african-american-history/,Out of the Box blog on the Library of Virginia's Virginia Memory site.,,,Petersburg Chancery Reveals Rich African American History,http://www.virginiamemory.com/
550,PJ-50061-10,Extra! Extra! Read all about it! Here's an incredible resource recently made available online through the Tennessee Digital Newspaper Program...,Gordon Belt,The Posterity Project. Documenting the Links to Our Past.,2011-07-26,http://posterityproject.blogspot.com/2011/07/hot-off-press-19th-century-tennessee.html,,,,The Posterity Project,http://posterityproject.blogspot.com
551,PJ-50061-10,The University of Tennessee and  the Tennessee State Library &amp; Archives have received funding from the National Endowment for the Humanities to digitize historical newspapers for inclusion in the Library of Congress's Chronicling America newspaper portal.,Taneya Koonce,Taneya’s Genealogy Blog,2011-07-19,http://www.taneya-kalonji.com/genblog/a-paradise-for-tennessee-researchers,,,,A Paradise for Tennessee Researchers,http://www.taneya-kalonji.com/genblog/
581,PT-50202-11,Description of content and preservation work done on Rev. Ollie Turner's scrapbook.,Kim Norman,,2011-11-16,https://scholarblogs.emory.edu/marbl/2011/11/16/mississippi-baptist-minister-reverend-ollie-turners-scrapbook/,Emory Libraries website,,,Mississippi Baptist Minister: Reverend Ollie Turner's Scrapbook,
582,PT-50202-11,Description of content and preservation work done on Robert Churchwell's scrapbook,Kim Norman,,2011-10-19,https://scholarblogs.emory.edu/marbl/2011/10/19/first-african-american-reporter-on-nashville-newspaper-conserving-his-scrapbook/,Emory Libraries website,,,First African American Reporter on Nashville Newspaper: Conserving His Scrapbook,
583,PT-50202-11,Description of project and content and preservation work done on Flournoy Miller's scrapbook,Kim Norman,,2011-09-28,https://scholarblogs.emory.edu/marbl/2011/09/28/preserving-scrapbooks-through-save-americas-treasures-grant-award/,Emory Libraries website,,,Preserving Scrapbooks Through “Save America’s Treasures” Grant Award,
584,PT-50202-11,Announcement regarding SAT grant award to Emory,Laura Carroll,,2011-03-02,https://scholarblogs.emory.edu/marbl/2011/03/02/marbl-wins-save-americas-treasures-grant/,,,,MARBL WINS SAVE AMERICA’S TREASURES GRANT,
585,PT-50202-11,General article about preserving scrapbooks which mentions Emory's SAT great,Marvin Heiferman,,2011-09-13,http://siarchives.si.edu/blog/cut-and-paste-old-style,Smithsonian Institution Archives website,,,"Cut and Paste, Old Style",
693,FT-53647-05,"The history of Native Americans symbolizes the long path of American history – and in the 20th century the nation and the race continued to intersect through world wars, cold wars and cultural wars. Paul C. Rosier traces the way American Indians defined their cultural and spiritual values in the context of U.S. engagements at home and overseas. In his book, ""Serving Their Country: American Indian Politics and Patriotism in the Twentieth Century,"" recently released by Harvard University Press, Rosier shows how Native Americans' struggles for rights and justice are – like the efforts of African Americans – an integral part of the development of American society. Rosier is an associate professor of history at Villanova University.&#x0D; &#x0D; ",Paul C. Rosier,Washington Post Political Bookworm,2010-03-09,http://voices.washingtonpost.com/political-bookworm/2010/03/native americans enduring stru.html,,,,Native Americans' enduring struggle for justice,
945,FB-52999-07,Article-length post on the history of Walden Woods.,Elise Lemire,,2009-09-13,http://hnn.us/articles/116046.html,"History News Network ",,,Walden Woods was a Black Space before it was a Green Space,
946,FB-52999-07,"Article-length post describes placement of a Toni Morrison bench in Concord, MA, as a result of Black Walden and other efforts.",Elise Lemire,,2011-06-01,http://pennpress.typepad.com/pennpresslog/2011/06/a-small-bench-by-the-side-of-the-road-elise-lemire-on-remembering-concords-history-of-slavery.html,Penn Press Log,,,A Small Bench by the Side of the Road,
1172,FA-52436-06,"""Wat passe?"". What has happened to Italian language and identity in the European scenario of Diego Marani's fiction? ""Aqui in Venezia sumus, keine Paris!""… Really? An Italian newspaper columnist, novelist and translator for the Council of the European Union, Diego Marani invented an artificial language called Europanto in which he has been writing articles and short stories since 1996. More than a mock international language with a provocative aim, Europanto offers the model for a non-hierarchical European subjectivity that erodes national linguistic barriers and also the all-encompassing power of English as Europe's alleged lingua franca.&#x0D; ""Eh? Wat signifique?"" ""No! No esse so facile!""&#x0D; &#x0D; ",Nicoletta Pireddu,,2010-11-16,http://issuu.com/iicwashington/docs/pireddu,,,,"“’De pizza habe disappeared!’ Italy, Europe, Europanto""",http://issuu.com/iicwashington/docs/pireddu
1223,FA-50556-04,"Blog entry, in Rorotoko format, on America's Army",Beth Bailey,Rorotoko,2010-03-17,rorotoko.com/interview/20100319 bailey beth on america army making all-volunteer force/,the blog entry,,,Beth Bailey on her Book America's Army,rorotoko.com
1301,PT-50202-11,Description of content and preservation work done on the William S. Scarborough scrapbook.,Kim Norman,,2011-12-27,https://scholarblogs.emory.edu/marbl/2011/12/27/conserving-the-scrapbook-of-william-sanders-scarborough/,Emory Libraries website,,,Conserving The Scrapbook of William Sanders Scarborough,
2621,GI-50074-09,"Title: ""Open Space Institute award connects intern Aaron Ahlstrom with Montgomery Place""",Rob Schweitzer,,2010-08-04,https://www.hudsonvalley.org/community/blogs/open-space-institute-award-connects-intern-aaron-ahlstrom-montgomery-place,,,,HHV - Montgomery Place American Arcadia - Blog Post 3,
