9,RF-50008-09,"Examination of pedagogical issues relating to the digital humanities based on various projects created at UCLA.  Among these is the NEH Sponsored Visualizing Statues in the Late Antique Roman Forum which was incorporated in both undergraduate and graduate courses.  Focusing on movement, the project allowed students to explore such issues as the cultural constitution of experience, differences in artistic and textual conveyors of meaning, and the evaluation of architectural environments while in motion",,Diane Favro co-author,Teaching Digital Humanities,Brett D. Hirsch,,,,"University of Michigan Press ",,,"“Teaching Digital Humanities: Principles, Practices, and Politics,” ",2012
23,RZ-50577-06,"The chapter illustrates the use of GIS in historical research. Exploring the case of nineteenth-century Wales, it describes the expansion of the railway system and examines the relationship between rail accessibility, population change, and farming practice during the late nineteenth century, show how proximity to railway stations influenced population growth and the development of livestock farming.",,"Jordi Marti Henneberg, Robert M. Schwartz, Ian N. Gregory","Geohumanities: Art, History, Text at the Edge of Place","Doug Richardson, Michael Dear, Jim Ketchum, Sarah Luria",0415589800,,,Routledge,,,"Railways, Population Change, and Agricultural Development in late nineteenth century Wales",2011
62,PW-50024-08,"Edition and study of a previously unpublished inscription of the Assyrian king Sargon II (721-705 BC) on a clay cylinder fragment in the Archaeological Museum in Malatya (Turkey). ",,"Grant Frame ","Of god(s), trees, kings, and scholars : Neo-Assyrian and related studies in honour of Simo Parpola ","Raija Mattila, Mikko Luukko, Saana Svärd",9789519380728,http://www.worldcat.org/title/of-gods-trees-kings-and-scholars-neo-assyrian-and-related-studies-in-honour-of-simo-parpola/oclc/434869052&amp;referer=brief results,"volume 106 of the journal ""Studia Orientalia""",Finnish Oriental Society,http://www.worldcat.org/title/of-gods-trees-kings-and-scholars-neo-assyrian-and-related-studies-in-honour-of-simon-parpola/oclc/608451646&amp;referer=brief results,,A ‘New’ Cylinder Inscription of Sargon II of Assyria from Melid,2009
64,PW-50024-08,Edition and study of the Middle and Neo-Assyrian royal inscriptions in the Schøyen Collection (Norway).,,Grant Frame,Cuneiform Royal Inscriptions and Related Texts in the Schøyen Collection,A. R. George,9781934309339,http://www.worldcat.org/title/cuneiform-royal-inscriptions-and-related-texts-in-the-schyen-collection/oclc/696603496&amp;referer=brief results,,CDL Press,http://www.worldcat.org/title/cuneiform-royal-inscriptions-and-related-texts-in-the-schyen-collection/oclc/729962203&amp;referer=brief results,,Assyrian Royal Inscriptions,2011
190,RA-50033-05,"The Oxford Encyclopedia of Ancient Greece and Rome is the clearest and most accessible guide to the world of classical antiquity ever produced. This multivolume reference work is a comprehensive overview of the major cultures of the classical Mediterranean world--Greek, Hellenistic, and Roman--from the Bronze Age to the fifth century CE. It also covers the legacy of the classical world and its interpretation and influence in subsequent centuries. The Encyclopedia brings the work of the best classical scholars, archaeologists, and historians together in an easy-to-use format.  The articles, written by leading scholars in the field, seek to convey the significance of the people, places, and historical events of classical antiquity, together with its intellectual and material culture., Contracted for Encyclopedia of Ancient Greece and Rome",,Betsey A. Robinson,Encyclopedia of Ancient Greece and Rome,Michael Gagarin,9780195170726,"http://www.oup.com/us/catalog/general/subject/ClassicalStudies/AncientHistory/?view=usa&amp;ci=9780195170726, ",,New York and Oxford: Oxford University Press,,,Fountains and Nymphaea,2009
220,RA-50033-05,This book presents a synchronic and diachronic view of the gods as they functioned in Greek culture until the triumph of Christianity.,,Judith Barringer,The Gods of Ancient Greece: Identities and Transformations,A. Erskine and J. Bremmer,9780748637980,http://www.worldcat.org/title/gods-of-ancient-greece-identities-and-transformations/oclc/573196869&amp;referer=brief results,,Edinburgh University Press,,,Zeus in Olympia,2010
231,RA-50033-05,"In Acts of ""The Dark Ages"" Revisited: An International Symposium in Memory of William D.E. Coulson, Volos, 14-17 June 2007, University of Thessaly (Volos 2010) 465-477. ",,"Haggis, Donald, C., Margaret S. Mook",Acts of “The Dark Ages” Revisited: An International Symposium in Memory of William D.E. Coulson,A. Mazarakis Ainian,,,,University of Thessaly,,,"The Early Iron Age-Archaic Transition in Crete: The Evidence from Recent Excavations at Azoria, Eastern Crete",2007
264,RQ-50382-09,"The records and practices of touring companies of actors in early modern England, based on the author's research for the Records of Early English Drama project, and describing patterns discovered through the use of the Patrons and Performances database.",,Peter H Greenfield,The Oxford Handbook of Early Modern Theatre,Richard Dutton,,http://www.worldcat.org/title/oxford-handbook-of-early-modern-theatre/oclc/251213252&amp;referer=brief results,WorldCat listing.,Oxford University Press,,,"""Touring""",2009
265,RZ-20867-02,An overview of dramatic activity in England outside of the capital during the sixteenth and seventeenth centuries.  The activities of both local amateurs and touring professional are covered.,,Peter H Greenfield,"Cambridge History of British Theatre, vol. 1","Jane Milling, Peter Thomsen",,http://www.worldcat.org/title/cambridge-history-of-british-theatre/oclc/53477443&amp;referer=brief results,WorldCat listing,Cambridge University Press,,,"“Drama Outside London 1540-1642,”",2004
266,RZ-20867-02,An examination of provincial peformance activities that may have influenced Shakespeare.  Based on REED research.,,Peter H Greenfield,"Region, Religion and Patronage: Lancastrian Shakespeare",,,http://www.worldcat.org/title/region-religion-and-patronage-lancastrian-shakespeare/oclc/51031517&amp;referer=brief results,,Manchester University Press,,,Regional Performance in Shakespeare's Time,2003
