15,RF-50008-09,A historiographical analysis of digital projects on ancient Rome,Diane Favro,7/28/2011,"Broadening the Digital Humanities, NEH Summer Institute, University of Southern California",,,,,"Building Ancient Rome, Bit by Bit"
182,RA-50033-05,Radcliffe Advanced Seminar,Nancy Klein,23-24 March 2007,"Radcliffe Center for Advanced Study, Cambridge",,,,,New Discoveries in Old Dig Notebooks
188,RA-50033-05,A workshop organized by Jack Davis and Natalia Vogeikoff-Brogan,Betsey A. Robinson,5/28/10,"ASCSA, Athens, Greece",,,,,"Hydraulic Euergetism: American Archaeology and Waterworks in Early 20th-century Greece,” for “Philhellenism, Philanthropy, or Political Convenience? American Archaeology in Greece"
209,RA-50033-05,"Organizer and Speaker. Participants: Michael Boyd, Nancy Klein, Kostis Kourelis, Astrid Lindenlauf, Jutta Stroszeck, Ioulia Tzonou-Herbst.",Betsey A. Robinson,"23-24 March, 2007",Radcliffe Institute for Advanced Study,,,,,New Discoveries from Old Excavations
210,RA-50033-05,"Invited response to Jorunn Økland, Women in Their Place: Paul and the Corinthian Discourse of Gender and Sanctuary Space (T &amp; T Clark, 2004), panel on Space, Place, and Lived Experience in Antiquity, Society of Biblical Literature Annual Meeting",Betsey A.  Robinson,11/18/06-11/21/06,"Washington, D.C.",http://www.sbl-site.org/meetings/Congresses Abstracts.aspx?MeetingId=5,,,,"Space, Place, and Lived Experience in Antiquity"
219,RA-50033-05,"Organizer and speaker, Radcliffe Advanced Seminar. Participants will include I. Tzonou-Herbst, N. Klein, K. Kourelis, and B.Millis from the ASCSA, as well as representatives of the German Archaeological Institute and British School of Archaeology",Betsey A. Robinson,23-24 March 2007,"Radcliffe Center for Advanced Study, Cambridge",,,,,New Discoveries in Old Dig Notebooks
223,HW-50003-09,"Representatives of the German Archaeological Institute and the American School of Classical Studies at Athens convened in Athens and Corinth for four days (November 4-7) to discuss problems in information technology as they pertain to the so-called ""Big Digs,"" that is, excavations like Ancient Corinth, the Athenian Agora, Olympia, and the Kerameikos.  The purpose of the gathering was to explore opportunities for collaboration between American and German archaeologists. This initial workshop was made possible through a generous grant from the DFG/NEH Bilateral Digital Humanities Program in reponse to a proposal: ""The ‘Big Digs' Go Digital: Opportunities and Challenges for Large-Scale, Multigenerational Excavation Projects in the Digital Age."" The 30 representatives from the two institutions included directors of the German and American schools in Athens, the General Secretary of the DAI in Berlin, and the head of ASCSA's Committee on Information Technology. Greek colleagues, Metaxia Tsipopoulou, Director, National Archives of Monuments of Greece, and Despina Tsiafaki, Head of Cultural Heritage United, CETI, participated in the discussions.  A second workshop will take place at the Annual Meetings of the Archaeological Institute of America in Anaheim, California (January 7, 2010)","James Herbst, Ortwin Dally, Bruce Hartzler, Rainer Komp, Greg Crane","Nov. 4-7 2009; January 7, 2010","Athens Greece; Anaheim, CA",http://www.ascsa.edu.gr/index.php/news/newsDetails/big-digs-go-digital-conference-explores-collaborations/,,http://bigdigs.org/tiki-index.php,,Big Digs Go Digital
308,CH-50824-11,"Given the explosion of scholarship in cultural history over the past twenty-five years, what now is the place of objects in the study of the past? What role do material and visual culture studies play in scholarly conversations that range over topics as diverse as race, sexuality, gender, nationalism, ethnicity, power and global interaction? In turn, in the face of increasingly trans-national scholarship in early America what can we gain from attention paid to a single region and its artifacts? &#x0D; &#x0D; ","Martha J. McNamara, Wellesley College, Georgia B. Barnhill, AAS",2007,"Worcester, MA",http://www.chavic.org/Pastconferences2007.htm,Conference schedule and participants,,,"""Fields of Vision: The Material and Visual Culture of New England, 1600-1830"""
309,CH-50824-11,"Papers addressed aspects of eighteenth and nineteenth-century textual, visual, or material culture that related to the experience or representation of childhood.","Patricia Crain, New York University, Chair",2008,"Worcester, MA",http://www.chavic.org/Pastconferences2008.htm,Conference brochure,,,"""Home, School, Play, Work: The Visual and Textual Worlds of Children"""
310,CH-50824-11,"Through the emergence of women's studies programs in academic institutions in the past generation or two, many aspects of women's lives have been documented through publications and academic courses. The third conference of the Center for Historic American Visual Culture focuses not on women but on men. Looking at examples of visual materials of and for men is a way to look at a different gendered audience. In the literature on American graphic materials, little has been written about the audience for historical images. The papers presented at this conference begin to address this need.","Joshua Brown, executive director of the American Social History Project, located in the Graduate Cen",2009,"Worcester, MA",http://www.chavic.org/Pastconferences2009.htm,Conference brochure,,,"""Destined for Men: Visual Materials for Male Audiences, 1750-1880"""
