10,RF-50008-09,"In classical studies, the association of words and places has centered on textual references.  Researchers have scoured through epigrams, letters, histories and other written sources seeking descriptive passages about spaces, buildings, streets, landscapes, and cities.  Yet words literally occupied places.  Thousands of inscriptions embellished and informed Roman environments, though they are usually studied ripped from their original contexts.  The Visualizing Statues in the Late Antique Roman Forum project created at UCLA with support from the NEH, interrogates how the placement of inscriptions in the center of Rome as well as their content is essential to understanding their meaning.",Diane Favro,"Digital Humanities and the History of Rhetoric, Rhetoric Society of America",6/23/2011,,,,,Texts and Topography: Embodying the Roman Street
11,RF-50008-09,"A presentation of the ""Visualizing Statues in the Late Antique Roman Forum"" project.",Gregor Kalas,Eastern Tennessee Chapter of the Archaeological Institute of America,2/3/2011,,,,,Digitizing statues in the Late Antique Roman Forum
12,RF-50008-09,"The visualization of historical environments has become multi-sensory.  Students today can move through ancient Egypt and Rome, experience not only sights and movement, but sounds and textures.",Diane Favro,UCLA Parents' Weekend attended by 5000,10/29/2011,,,,,Visualizing History: Ancient Rome and Egypt’s Karnak
13,RF-50008-09,An analysis of the Visualizing Antique Sculptures in the Late Antique Roman Forum project funded by NEH,Gregor Kalas,"Gaudeamus Igitur:  Conference in Honor of Dale Kinney, Bryn Mawr",10/10/2011,,,,,The Epigraphic Habits of Honorius and the Reuse of Monuments in Late Antique Rome
16,RF-50008-09,Remembering the past in the Porticus Deorum in the Forum Romanum.,Gregor Kalas,Annual meeting of the Society of Architectural Historians,4/15/2011,,,,,Renewed Time at the Late Antique Portico of the Harmonized Gods
17,RF-50008-09,A study of how statues create urban narratives based on the Visualizing Statues in the Late Antique Roman Forum,Gregor Kalas,"Memoria Romana, University of Texas",4/10/2011,,,,,Altered Memories in the Statues of the Theodosian Dynasty in Rome
19,RF-50008-09,An exploration of digital tools for analyzing movement in ancient simulations.,Diane Favro,"Mapping Place: GIS and the Spatial Humanities Conference, UCSB",2/25/2011,,,,,Mapping Lost Places: GIS and Moving Through Ancient Worlds
26,RZ-50577-06,"Abridged French version of an article published in 2010 in Social Science History. Presented at the symposium ""Genèse des Marchés,"" Institute de la Gestion Publique et du Développement Économique et Comité pour l'histoire économique et financière de la France.",Robert M. Schwartz,Genèse des Marchés,05/19/2009,,,,,"“Les transports ferroviaires, la crise agraire, et la restructuration de l’agriculture : la France e"
27,RZ-50577-06,"A digital article and presentation to illustrate the use of Geographical Information Systems in historical research, demonstrating, among other things, the use of animated maps to depict change over space and time.",Robert M. Schwartz,History in the Digital Age,02/01/2007,http://digitalhistory.unl.edu/essays/schwartzessay.php,Digital version of the article,,,"New Tools for Clio: GIS, Railways, and Change over Time and Space in France and Great Britain, 1840-"
53,HD-51129-10,"The purpose of this session is to educate attendees about the GeoHistorian Project, an NEH-funded digital humanities project and an initiative from Kent State University's Research Center for Educational Technology (RCET). The project is aimed at educating K-12 students to become local historians who create digital content for an audience that transcends the walls of their classrooms. Particular emphasis will be placed on the use of digital technologies to do local history.","Thomas McNeal, Mark van 't Hooft",ISTE 2011,06/29/2011,http://www.rcet.org/geohistorian/files/2010/10/ISTE2011 GeoHistorian vanthooft mcneal.pdf,"poster materials, Link to poster materials",http://www.isteconference.org/ISTE/2011/program/search results details.php?sessionid=60703513&amp;selection id=69768327&amp;rownumber=3&amp;max=3&amp;gopage=,"ISTE conference site, presentation listing","Students as local, digital history creators: The GeoHistorian Project"
54,HD-51129-10,"The GeoHistorian Project is an initiative from Kent State University's Research Center for Educational Technology (RCET), aimed at educating K-12 students to become local historians, reducing the barriers between schools and community resources, giving students opportunities to create mobile digital content for their community, and investigating the potential of mobile tools for learning in informal settings. Currently in its first year, the project provides teachers with interdisciplinary curriculum and associated professional development. Student-created digital and local historical content will be available online and freely accessible by way of QR codes (two-dimensional bar codes) that will be placed in relevant community locations and can be scanned with wireless mobile devices. This session will provide an overview of the GeoHistorian Project, including curriculum examples and some preliminary student-produced digital content.","Thomas McNeal, Mark van 't Hooft","Mobile Learning Experience, 2011",04/06/2011,http://www.rcet.org/research/presentations/Mobile 2011 Geohistorian vanthooft.ppt,"presentation slides, Link to presentation slides",http://mobile2011.org/,"conference site, Link to conference site","Making history local, digital, and relevant: The GeoHistorian Project"
55,HD-51129-10,"Use your smartphone to follow a scavenger hunt uncovering some of Phoenix's local history. Learn how to apply this to your school's neighborhood. THIS IS A TWO HOUR SESSION conducted outside the building within the local neighborhood. Expect a fair amount of walking. Bring a phone or device that has 3G internet access, a camera, and the free i-nigma QR Code app.",Mark van 't Hooft,Mobile Learning Experience 2011,04/07/2011,http://www.rcet.org/research/presentations/Mobile 2011 scavenger-hunt-handout.docx,session handout,http://mobile2011.org/,conference website,Mobile scavenger hunt
56,HD-51129-10,"This presentation &#x0D; 1) illustrates how QR Codes can be used in and outside of the classroom, discusses how we are using QR Codes with our GeoHistorian Project, and shares resources created by students in the project. &#x0D; 2) shares with participants how to create, scan, and use QR codes. &#x0D; 3) provides links to a variety of QR code creators and scanners. &#x0D; 4) uses a hands-on activity in which participants will be given the opportunity to download a QR reader to their Smartphones and scan a series of QR Codes that will download video clips, audio clips, or access websites.","Thomas McNeal, Mark van 't Hooft",eTech Ohio 2011,01/31/2011,,,http://www.etech.ohio.gov/conference/,conference site,Using QR codes in the classroom: A brave new world
57,HD-51129-10,"Participate in a hands-on, digitally enhanced learning experience in Benjamin Franklin's neighborhood and experience life in historical Philadelphia. Bring your mobile phone!","Stephanie Greenhut, Mark van 't Hooft, Thomas McNeal, Helen Crompton",ISTE 2011,06/28/2011,http://www.isteconference.org/ISTE/2011/program/search results details.php?sessionid=60858027&amp;selection id=69768327&amp;rownumber=2&amp;max=3&amp;gopage=,session description on ISTE conference site,http://www.rcet.org/geohistorian/files/2010/10/ISTE 2011 walkingtour handout.pdf,activity handout,SIGML walking tour: Learning history on location: Benjamin Franklin on your mobile phone
85,PR-50019-08,"Why did the Victorians look to mathematics to achieve certainty, and how we might understand the Victorians better with the mathematical methods they bequeathed to us? I want to relate the Victorian debate about the foundations of our knowledge to a debate that we are likely to have in the coming decade, a debate about how we know the past and how we look at the written record that I suspect will be of interest to literary scholars and historians alike. It is a philosophical debate about idealism, empiricism, induction, and deduction, but also a practical discussion about the methodologies we have used for generations in the academy.",Dan Cohen,Victorians Institute Conference,10/2/10,http://www.dancohen.org/2010/10/04/searching-for-the-victorians/,,,,Victorians Institute Conference Keynote: Searching for the Victorians
86,PW-50743-10,Using cloud computing technology for storing data for this humanities project.,"Han, Y",,06/25/2011,http://connect.ala.org/node/137568,"2011 American Library Association (ALA) Annual Conference, New Orleans, USA, June 25, 2011.",,,Updates on Cloud Computing uses for Library Services
134,HD-51087-10,"We present the beginnings of a new system for optical music recognition (OMR), aimed toward the score images of the International Music Score Library Project (IMSLP).  Our system focuses on measures as the basic unit of recognition.  We identify candidate composite symbols (chords and beamed groups) using grammatically-formulated top-down model-based methods, while employing template matching to find isolated rigid symbols.  We reconcile these overlapping symbols by seeking non-overlapping variants of the composite symbols that best account for the pixel data.  We present results on a representative score from the IMSLP."," Christopher Raphael and Jingya Wang",International Symposium on Music Information Retrieval (ISMIR11),10-25-11,http://www.music.informatics.indiana.edu/papers/ismir11/,Examples of the current state of the art for our recognition system.,,,New Approaches to Optical Music Recognition
139,FB-54782-10,Baby Books as historical sources.,Janet Golden,"Huntington/USC Institute on California and the West, Working Group on the History of Medicine and Public Health, ","10/11/2010, 10/10/2010",,,,,"“Medicine, Money and Modernity: What the Baby Books Tell Us” 	"
152,FV-50203-09,"Seven teachers from the seminar will join together in a roundtable on Teaching Chaucer in the Secondary Schools.  The conference session was organized by the seminar directors, who will serve as moderators.  The international congress is the world's largest gathering of Chaucer scholars and teachers., Seven teachers from the seminar will join together in a roundtable on Teaching Chaucer in the Secondary Schools.  The conference session was organized by the seminar directors, who will serve as moderators.  The annual conference is the world's largest gathering of medievalists.","Susanna Fein, David Raybin","Eighteenth Biennial Congress of the New Chaucer Society, International Congress of the New Chaucer Society",7/24/2012,"http://artsci.wustl.edu/~chaucer/congress/congress2012call.php, http://www.wmich.edu/medieval/congress","This is the address for the New Chaucer Society 2012 Congress., This is the address for the New Chaucer Society 2012Congress.",,,Roundtable: Teaching Chaucer in the Secondary Schools (1): Contexts for Reading Chaucer
153,FV-50138-07,"Three teachers from the seminar will join with two Chaucer scholars in a roundtable on Teaching Chaucer in the Secondary Schools.  The conference session was organized by the seminar directors, who will serve as moderators.  The international congress is the world's largest gathering of Chaucer scholars and teachers.","Susanna Fein, David Raybin",Eighteenth Biennial Congress of the New Chaucer Society,7/24/2012,http://artsci.wustl.edu/~chaucer/congress/congress2012call.php,This is the website for the New Chaucer Society 2012 Congress.,,,Roundtable: Teaching Chaucer in the Secondary Schools (2): Methods and Standards
154,FV-50203-09,Three participants in the seminar have organized a session on Teaching Chaucer's Canterbury Tales at the 2011 NCTE Convention in Chicago.,"Emily Vail, Luke Wiseman, Maren Wilke",NCTE Convention,11/19/2011,http://www.ncte.org/annual,This is the website for the National Council of Teachers of English.,,,"In this mery companye: Reading, Writing, and Playing through Canterbury  "
158,PW-50328-09,"The fundamental challenge posed by the digital environment is  how a small academic nonprofit publication can keep on top of it while preserving a modicum of academic standards.  As a free online encyclopedia that depends on private and federal grants, the Encyclopædia Iranica database must proactively attract visitors to its website. In the near future it is imperative that the project addresses two issues. The first is that the development of the digital database must reflect how search engines of different browsers crawl the web in the search of information, for in the end every search engine can only find that which has been coded and indexed for discovery. The other issue concerns the internal organization of the database.",Dagmar A. Riedel,"Third  International MARGOT Conference: The Digital Middle Ages in Teaching and  Research, Barnard College, June 16-17 2010",6/17/2010,http://columbia.academia.edu/DagmarRiedel/Papers/520036/The Business of Making an Encyclopedia and the Impact of Digitization The Example of the Encyclopaedia Iranica,"Repository for academic research ",,,The Business of Making an Encyclopedia and the Impact of Digitization: The Example of the Encyclopædia Iranica
178,PW-50328-09,"This panel of scholars surveyed the life work of the editor-in-chief, and especially the current project, Encyclopaedia Iranica","William Hanaway, Richard N. Frye, Ahmad Karimi-Hakkak, Charles Melville, Oktor Skjaervo",Eighth Biennial Conference of the International Society for Iranian Studies (ISIS),5/29/2010,http://www.iranianstudies.com/conferences/2010/program,Conference information webpage,,,Ehsan Yarshater’s Contribution to Iranian Studies
183,RA-50033-05,Lecture presented at symposium at Texas A&amp;M University,Nancy Klein,2009 College of Architecture Research Symposium,10/19/09,,,,,The Architecture of the Acropolis before Perikles: The Life and Death of the Small Limestone Buildings
184,RA-50033-05,"Published in Archaeological Institute of America 109th Annual Meeting, Abstracts, Boston 2009. ISBN-13: 978-1931909211",Nancy Klein,Archaeological Institute of America 109th Annual Meeting,1/3/10,,,,,Building B and the Mnesiklean Propylaia on the Athenian Acropolis
186,RA-50033-05,"Invited presentation at Wellesley College, Wellesley, MA",Betsey A. Robinson,"Barnard-Wellesley Workgroup in Ancient Landscape,",4/1/09,,,,,The View from the Mountain
187,RA-50033-05,"Invited presentation at University of Michigan, Ann Arbor, MI",Betsey A. Robinson,Roman Archaeology Conference,4/2/09,,,,,Rome is in the Details: Roman Remnants in Rehellenized Corinth
374,RA-50055-07,"Presented with Peter Schultz at the Free University, Berlin",Prof. Bronwen Wickkiser,"Sixth International Conference on Technology, Knowledge, and Society",1/15/10,,,,,Communicating with the Gods in Ancient Greece: The Thymele at Epidauros
375,RA-50055-07,"University of Valladolid, Spain.","Peter Schultz, Prof. Bronwen Wickkiser",Congress of the ICTM Study Group for Music Archaeology,9/19/11,,,,,"Music, Performance and Therapy in Ancient Greek Cult:  The Thymele at Epidauros"
196,FA-55153-10,"Bound up with debates over the origin of labor pain were concerns for how to accurately assess pain's intensity. Most clinical research on the efficacy of psychoprophylaxis centred on judging women's performance based on outward signs of suffering. Grimaces, clenched jaws, crying, and screaming were interpreted as indicators of the method's (or, more often, the woman's) failure. Sceptical of the accuracy of such cues and reluctant to trust the testimony of women themselves, some investigators sought what they touted as more objective measures of pain or predictors of women's pain threshold. For example, Sverdlovsk pharmacology professor A.K. Sangailo developed a machine he called to sensograph, which used electrodes to administer variable electric current to women in order to identify their pain threshold and predict their success or failure using psychoprophylaxis in labour.  Based on extensive archival research in Ukraine and Russia, this paper will analyze medical professional debates over the origin, role, and measurement of pain in childbirth as a window onto questions of mind-body medicine and gender dynamics in the clinical encounter.","Michaels, Paula",European Association for the History of Medicine and Health Conference,9/4/11,http://www.eahmh.net/index.php?option=com content&amp;view=article&amp;id=53&amp;Itemid=58,,,,"Soviet Theories of Labor Pain’s Origin and the Quest for Its Objective Measurement, 1950s-1960s"
211,RA-50033-05,"Invited lecture at Columbia University. William V. Harris, organizer.",Betsey A. Robinson,"The Romans and Water, Center for the Ancient Mediterranean",9/22/06,,,,,Greek Springs and Roman Fountains: Reflections from provincia Achaea
215,RA-50033-05,"Invited presentation at Wellesley College, Wellesley, MA",Betsey A. Robinson,Barnard-Wellesley Workgroup in Ancient Landscape,4/1/09,,,,,The View from the Mountain
216,RA-50033-05,"Invited presentation at University of Michigan, Ann Arbor, MI",Betsey A. Robinson,Roman Archaeology Conference,4/2/09,,,,,Rome is in the Details: Roman Remnants in Rehellenized Corinth
218,RA-50033-05,Presented at the Center for the Ancient Mediterranean at Columbia University,Betsey A. Robinson,"The Romans and Water: Management, Technology, Culture",9/22/06,,,,,Greek Springs and Roman Fountains: Reflections from provincia Achaea
225,HR-50517-10,"The renewal of the Oak Cliff neighborhood in Dallas by its new, predominantly Latino population suggests that we need to reinterpret the urban history of the postwar United States to account for the influence of immigration from Latin America.",A. K. Sandoval-Strausz,Urban History Association,10/21/2010,,,,,LATINO LANDSCAPES: TRANSNATIONAL URBANISM IN DALLAS AND THE NEXT URBAN HISTORY
230,RA-50033-05,"In A. Mazarakis Ainian, ed., Acts of ""The Dark Ages"" Revisited: An International Symposium in Memory of William D.E. Coulson, Volos, 14-17  University of Thessaly, (Volos 2010) 427-438.   ",Professor Margaret Mook,“The Dark Ages” Revisited:  An International Symposium in Memory of William D.E. Coulson,6/1/07,,,,,The Settlement on the Kastro at Kavousi in the Late Geometric Period
271,RQ-50237-06,"A dramatized presentation of selections from Records of Early English Drama editions, with Sally-Beth MacLean, University of Toronto; Alan Somerset, University of Western Ontario; Peter H. Greenfield, University of Puget Sound; Ralph Cohen, American Shakespeare Center; and actors from the Mary Baldwin College MFA program.",Barbara D Palmer,"Blackfriars Conference, Staunton, Virginia",10/12/2007,,,,,REEDing
337,HD-51153-10,"The New York Public Library is participating in the Chronicling America initiative to develop an online searchable database of historically significant newspaper articles. Microfilm copies of the papers are scanned and high resolution OCR software is run on them. The text from the OCR provides a wealth of data and opinion for researchers and historians. However, the categorization of articles provided by the OCR engine is rudimentary and a large number of the articles are labeled editorial without further categorization. To provide a more refined grouping of articles, unsupervised machine learning algorithms (such as K-Means) are being investigated. The K-Means algorithm requires tuning of parameters such as the number of clusters and mechanism of seeding to ensure that the search is not prone to being caught in a local minima. We designed a pilot study to observe whether humans are adept at finding sub-categories. The subjective labels provided by humans are used as a guide to compare performance of the automated clustering techniques. In addition, seeds provided by annotators are carefully incorporated into a semi-supervised K-Means algorithm (Seeded K-Means); empirical results indicate that this helps to improve performance and provides an intuitive sub-categorization of the articles labeled ``editorial"" by the OCR engine.  ","Barbara Taranto, Haimonti Dutta, Rebecca J. Passonneau, Austin Lee, Axinia Radeva, Boyi Xie, David Waltz","The 24th International FLAIRS Conference, Special Track on Data Mining",05/20/2011,http://www1.ccls.columbia.edu/~dutta/flairs.pdf,,,,Learning Parameters of the K-Means Algorithm from Subjective Human Annotation
338,HD-51153-10,"Chronicling America is an initiative of the National Endowment for Humanities (NEH) and the Library of Congress (LC) whose goal is to develop an online, searchable database of historically significant newspapers between 1836 and 1922. The New York Public Library (NYPL) is part of the initiative to participate in the first phase of the National Digital Newspaper Program (NDNP). Between 2005 - 2009, it has scanned 200,000 newspaper pages published between 1890 - 1920 from microfilm. The goal of this research project is to enable users of the historical archive including scholars and other library patrons to efficiently search for relevant items and tag articles of interest to them. Unfortunately, the current search facilities are rudimentary and irrelevant documents are often more highly ranked than relevant ones. The newspapers are scanned on a page-by-page basis and article level segmentation is poor or non-existent; the OCR scanning process is far from perfect and the documents generated from it contain a large amount of garbled text. Our goal is to apply state-of-the-art text mining and machine learning algorithms for increasing retrieval performance.","Barbara Taranto, Austin Lee, Haimonti Dutta, Rebecca J. Passonneau, David Waltz","5th Annual Machine Learning Symposium, New York Academy of Science (NYAS), 2010",10/22/2010,,,,,Topic Identification from Historic Newspaper Articles of the New York Public Library : A Case Study
364,RA-50055-07,"Archaeological Institute of America, Baltimore Society",Professor Jenifer Neils,"Archaeological Institute of America, Baltimore Society",10/9/09,,,,,The Archaeology of Heroes
367,RA-50055-07,AIA Meeting,Dr. Diana Wright,Archaeological Institute of America,1/7/11,,,,,'To tell you something very special': Cyriaco of Ancona in Greece
368,RA-50055-07,Byzantine Studies Association of North America,Dr. Diana Wright,Byzantine Studies Association of North America,10/1/10,,,,,Reattribution of a Poem of Bessarion to Theodoros II Palaiologos
369,RA-50055-07,Australian Association of Byzantine Studies,Dr. Diana Wright,Australian Association of Byzantine Studies,4/1/10,,,,,The Brides of 1420: Men Looking at Women's Bodies
372,RA-50055-07,Conference at the British Museum. Based upon research funded by the NEH.,Prof. Susan Rotroff,"Ceramics, Cuisine, and Cultures",12/1/10,,,,,"1,000 Years of Athenian Cooking Pots"
