28,RZ-50577-06,A course website with links to materials used to introduce undergraduate students to the use of GIS in historical research.,Undergraduate,Robert M. Schwartz,http://www.mtholyoke.edu/courses/rschwart/hist256/,website with links,,,Interpreting Nature: Environmental Thinking and Practice in Europe 1500 to the Present,2010
88,HD-51343-11,"""The Intellectual Climate of Spain"" is a laboratory where students will be gathering and organizing materials to create a prototype version of a software tool, Gnovis, for visualizing entities and the relationships between them in well-defined domains of knowledge. We will generate our own highly detailed dataset for a limited subset of Spanish Renaissance literature. This detailed example will help us understand the types of interface necessary to allow navigation through the many attributes and connections between the entities under consideration. In addition, the seminar will serve as a crucible for testing our ideas about developing different modes of visualization, and about the usefulness of including or excluding certain attributes.",Graduate,"Lucia Binotti, Chris Smith",,,,,Spanish Intellectual Climate: Developing the Gnovis Prototype,2011
341,PJ-50035-08,"Describes Chronicling America, Hawaii newspapers available, explains search techniques and provides topic guides and technical information",Undergraduate,"Joan Hori, Dore Minatodani",http://guides.library.manoa.hawaii.edu/content.php?pid=124921&amp;sid=1073115,University of Hawai'i at Manoa LibGuide for Chronicling America,,,Chronicling America: Historic American Newspapers,2011
443,RZ-50988-09,"This course compares and contrasts the respective ""philosophies of mind"" of the moderate realist Thomas Aquinas (ca. 1225-1274) and the nominalist John Buridan (ca. 1300-1361). Since Buridan knew, understood and respected, but respectfully disagreed with, Aquinas' doctrine, the discussions focus especially on Buridan's deviations from and criticisms of Aquinas' characteristic theses and arguments concerning the Aristotelian doctrine of the soul (such as the unity of substantial forms, the distinction of the powers of the soul, the co-formality of object and subject in intentional reception, the role of intelligible species in concept formation, the provability of the immateriality of the intellect, etc.) to find out exactly where Buridan's nominalist Aristotelianism parts company with Aquinas' consistent hylomorphism, why it does so, and whether with good reason. Also discussed is how Buridan's ideas prepared the ground for many recalcitrant dilemmas of modern philosophies of mind, quite justifiably invalidated by Aquinas' approach (dualism vs. materialism; freedom vs. determinism; representationalism vs. direct realism; externalism vs. internalism, etc.). The basic texts used are Aquinas' ""Questions on the Soul"" and ""Commentary on Aristotle's De Anima"", and the critical text and English translation of books II and III of Buridan's ""Questions on Aristotle's De Anima"", being prepared by an international team in the framework of an NEH-funded project (for more info, see: http://buridanica.org). While focusing primarily on the philosophical content, the course offers opportunities for students to experience in practice the work involved in the preparation of a critical text and translation.",Graduate,Gyula Klima,"http://faculty.fordham.edu/klima/ ",Faculty web site.,http://buridanica.org,The Buridanica project web site.,Aquinas vs. Buridan on the Soul – Phil 7090 – 2012 Spring,2012
506,FW-50288-11,Syllabus and curricular materials,Undergraduate,David Lefkowitz,http://philosophy.richmond.edu/ common KP3/files/faculty-staff-bio/as/lefkowitz-syllabus.pdf,Link to PDF containing course materials,,,Philosophy of Crime and Punishment,2011
539,HD-51088-10,"This course is all about digital publishing, with a particular focus on digital media scholarship — a niche area of scholarly publishing that will allow us to focus on a lot of cutting-edge issues and concerns that relate to all kinds of publishing, both print and digital and linear and nonlinear. We will cover all of the following topics in perhaps random but always-overlapping ways:      scholarship, peer-review, metadata, open-access, globalization, copyright, creative commons, media, materiality, mode, database, distribution, Deep Web, labor, economy, funding models, sustainability, workflow, reading patterns, research, reader tools, accessibility, usability, Internet, Web, HTML, XML, Dublin Core, FTP, online communication, open-source, Open Journal Systems, OAI-PMH, rhetoric, technology, pedagogy  Our main project will be to work on creating metadata for an actual publication, Kairos (the scholarly journal I edit), which recently won a $50,000 NEH grant to build a new content-management system for similar publication venues. One of the most important parts of this new CMS will be the journal's ability to offer robust metadata for readers, librarians, etc. But we need to build the metadata so they will come. This project is resume-worthy, so get your metadata hats on!",Undergraduate,Cheryl E. Ball,http://www.ceball.com/classes/354/spring11/,Course blog/syllabus for English 354: Digital Publishing at Illinois State University,,,Digital Publishing,2011
579,GI-50384-11,"2001, New-York Historical Society. U.S. Department of Education and Cultural (URR) Program.&#x0D; Classroom Materials for the Exhibition&#x0D; 1- MS, 1- KSM, 1- library, 2- common room (inside accompanying book)",K - 12,New-York Historical Society,http://www.nyhistory.org/exhibitions/revolution-the-atlantic-world-reborn,,,,Revolution! The Atlantic World Reborn,2011
716,MR-50102-11,"Fort Caspar Museum hosted a TEacher Workshop series in six classes during the month of April. FCM collaborated with the American History Cowbody Coalition (AHCC) with the Natrona County School District and the Western History Center (WHC) at Casper College. Drawing on inspiration from the exhibit, the workshop focused on strengthening knowledge of local history sources, agricultural and community history, demonstrating the basic principles of oral history as a primary source, strategies for conducting oral histories, and developing lessons that build on content knowledge through oral history.&#x0D; &#x0D; The AHCC arranged for two graduate credits through Adams State College in Colorado or credits with the Professional Training Standards Board in Wyoming. This workshop was open to K-12 teachers.",K - 12,"Teri Hedgpeth, Martha Karavitis, Erin Rose",,,,,Farm and Ranch Life and Oral History in the Classroom,2011
747,FV-50118-06,Course taught high school English teachers how to become better teachers and readers of poetry.,Other,Helen Vendler,,,,,"Poetry as a Form of Life, Life as a Form of Poetry",2007
748,FV-50155-07,Course taught high school English teachers how to become better teachers and readers of poetry.,Other,Helen Vendler,,,,,"Poetry as a Form of Life, Life as a Form of Poetry",2008
