1292,PA-51137-05,Purchase of UV roller shades and 90% UV protection broze mylar shades,"Wentworth Coolidge Mansion State Historic Site, Portsmouth NH",Light Protection,2006
14036,PG-252807-17,"Dahle Premium 43"" Large Format Guillotine Paper Trimmer","Edmond, OK",Dahle Large Format paper trimmer,2017
15594,PG-258259-18,"Two five-drawer flat file cabinets used for storage of oversize collection materials, such as maps, posters, certificates and photographs, and a library ladder.","Basque Museum &amp; Cultural Center, Boise, Idaho",Flat file cabinets and library ladder,2018
16674,PG-263474-19,"100 count unbuffered 10 pt. folder stock, used to create enclosures for oversized building plans and landscape drawings","Rod Library, University of Northern Iowa (Cedar Falls, IA)",folder stock,2019
16685,PG-263605-19,Wall hanging system for rolled textile collections abd a PEM2 datalogger for environmental monitoring of the new storage area,"Archives, University Library, Colorado State University-Pueblo",Shelving and Environmental Monitor,2019
16699,PG-266577-19,"Mega Safe Burglary &amp; Fire Safe Cabinet MBF2020E 2 Hr Fire Rating, Digital Lock, 22""W x 22""D x 22-1/2"" H","John Hair Cultural Center &amp; Museum, Tahlequah, OK",Mega Safe,2019
16962,PG-266753-19,"Archival quality, powder coated, lockable, storage cabinet for three-dimensional artwork",Utah,Archival Storage Cabinet,2020
17043,PG-266736-19,"Light meters and data loggers to monitor the environment in the library, museum and 2 historic houses","Luzerne County Historical Society Library, Museum, Nathan Denison House, Swetland Homestead",Lux Light Meter and MX1101 data logger,2019
17089,PG-266620-19,Two (2) units of Montel High Density Mobile Shelving installed on an existing track system in the AMC Library &amp; Archives to accomodate 224 cubic feet of archives collections materials.,"Appalachian Mountain Club Library &amp; Archives, AMC Highland Center at Crawford Notch, Bretton Woods, New Hampshire",Two (2) units of Montel High Density Mobile Shelving,2020
17141,PG-266611-19,Specialty shelving for fine-arts storage,"Boston, MA",Shelving for large framed prints/paintings,2020
17186,PG-266735-19,Archival steel mobile compact shelving that moves on rails.,"329 W. 18th Street  Suite 302 Chicago, IL  60616",Archival shelving,2019
17232,PG-266715-19,"The equipment comprised five Disaster Response Supply Cans containing the following emergency supplies (see photos in Article):  CONTAINERS 15-gallon bucket 133-gallon trash can 10Large plastic trash bags and 14"" zip ties GENERAL SUPPLIES  1notepad 2 markers 1 boxSharpened pencils 2scissors 1Packing tape dispenser and 2 rolls of tape 1Box cutter with 2 replacement blades inside 1 rollDuct tape 1Self-standing Atomic Beam lantern w/batteries 3AAA backup batteries (attached to inside of trash can lid)  150-ft extension cord FOR LEAKS OR PROTECTION FROM SPRINKLERS 1 roll10' x 100' 4mil plastic sheeting 1 spoolNylon string (to hang sheeting) 2Large sponges 2 rollsPaper towels 5New Pig re-usable absorbent socks (blue) 20New Pig disposable absorbent mats (black) FOR PERSONAL PROTECTION 2 pairsLeather gloves 1 boxNitrile gloves 10 Plastic smocks 1 boxN95 masks 2Plastic goggles","Santa Rosa, Petaluma, Healdsburg, and Rohnert Park of California",Disaster Response Supply Cans,2019
17277,PG-262249-19,1 (one) Montel High Density Mechanical Assist Mobile Shelving Carriage added to existing floor rail and shelving system.,"Appalachian Mountain Club Library &amp; Archives, AMC Highland Center at Crawford Notch, Bretton Woods, New Hampshire",Montel High Density Mobile Shelving,2020
18075,PF-266604-19,"Upon receipt of the grant in late 2019, the Poetry Center worked with Phoenix-based firm Interior Solutions to design a Spacesaver mechanical-assist high-density mobile storage system for the Poetry Center's Archives Room. Funding from the NEH was used to purchase this system, which added 1200 linear feet of shelving space to our Archives storage capacity.","The University of Arizona Poetry Center, Tucson, Arizona",Spacesaver Mechanical-Assist High-Density Storage,2019
18137,PF-266683-19,"Two Daikin chillers were purchased, installed, and connected to system controls to improve temperature and relative humidity controls at the Chicago History Museum's main facility.","Chicago History Museum, 1601 N. Clark St., Chicago IL",Daikin chillers,2020
18229,PG-271695-20,"REACH-IN FREEZER  True Manufacturing Co., Inc. Model No. 4024928 Freezer, reach-in, two-section, -10°F, (2) stainless steel doors, (6) PVC coated adjustable wire shelves, interior lighting, stainless steel front, aluminum sides, aluminum interior with stainless steel floor, 4"" castors, R290 Hydrocarbon refrigerant, 1 HP, 115v/60/1-ph, 9.6 amps, NEMA 5-15P, Made in USA, cULus, UL EPH Classified, ENERGY STAR® Dimensions 78.38(h) x 54.13(w) x 29.5(d)  REACH-IN REFRIGERATOR  True Manufacturing Co., Inc. Model No. 3547083 Refrigerator, reach-in, three-section, (3) stainless steel doors, (9) PVC coated adjustable wire shelves, interior lighting, stainless steel front, aluminum sides, aluminum interior with stainless steel floor, 4"" castors, R290 Hydrocarbon refrigerant, 3/4 HP, 115v/60/1-ph, 6.9 amps, NEMA 5-15P, cULus, UL EPH Classified, Made in USA Dimensions 78.38(h) x 78.13(w) x 29.5(d) Weight: 575 lbs total","CFA  329 W. 18th Street  #317, Chicago, IL  60616",Refrigerator and Freezer,2020
18382,AV-265985-19,Purchased 3 desktop computers,Veterans Resource Center,Desktop Computers,2019
18728,PG-263619-19,"Acquisition of two 'Just-in-case Case Disaster Kit' which is a complete disaster preparedness kit with a in a medium size. Supplied as two boxes, no transit trolley. A vas variety of supplies need in one place, sealed to ensure items are not removed until required. The 34 piece kit comprised of 273 individual items, covering Personal Protective Equipment, Clean-up, Survey and Damage Recording, Illumination, Water Barriers and absorbent materials, and emergency tools. The kit has been created with the experience and support of conservators, curators, archivists, librarians and collection managers. The kit is designed to be used primarily by a 2 person team and provides a range of items to prevent further damage, document damage and then clean-up. The just-in-case disaster supplies kit is intended for use in small scale disasters such as flooding, exposure to elements or dust ingress. Each kit is sealed to prevent misuse of contents.","In the Museo de Arte de Puerto Rico ""Sala de estudio e investigación"" library and the ""Centro de docuentación y estudios curatoriales"" archive.",Disaster preparedness kit,2021
18881,PG-266728-19,Onset Environmental Data Loggers used to track the temperature/humidity levels every 15 minutes.,"Travellers Rest Historic House Museum, Nashville, TN",Onset Data Loggers,2019
18940,PG-271818-20,"Archive holding room newly created within the National Historic Landmark Auditorium Theatre venue, and outfitted with specialized archive storage equipment.","Auditorium Theatre, 50 E Ida B Wells Dr at Roosevelt University, Chicago, IL 60605",Auditorium Theatre Archives Room,2020
19005,PR-258900-18,"U.S. Patent Application  16/937,045. A three-dimensional (3D) imaging system includes a mobile device that has a display screen configured to display a series of patterns onto an object that is to be imaged. The mobile device also includes a front-facing camera configured to capture reflections of the series of patterns off of the object. The system also includes a controller that is configured to control a timing of the series of patterns that appear on the display screen and activation of the front-facing camera in relation to the appearance of the series of patterns.",Northwestern University,Method and system for three-dimensional surface measurement with a mobile device,2021
19360,PG-266669-19,"2-channel Testo Mini Temperature &amp; Humidity Data Logger Starter Kit  is ideal for the continuous monitoring of temperature and humidity. The digital display can be programmed for measurement cycles from 1 minute to 24 hours and stores 16,000 readings.",permanent collection storage room,Testo Mini Temperature &amp; Humidity Data Logger Starter Kit,2020
19383,PG-266734-19,"Purchased with this grant: Vertical Art Storage with Dividers 40H x 48W x 40D Safco Horizontal 10 and 5 Drawer Flat Files 30x42 plus 6"" base Artcare Foam Core 32 x 40 Adjustable Wire Shelving 48 x 24",Chester County History Center - Horticultural Hall museum storage,no name - improved storage space,2020
19420,PG-271696-20,"325 x Archival 3"" film cores 87 x Archival 8mm Film Reel and Can set  296 x Archival 16mm cans 400' each 10 x Archival 16mm cans 800' each  19 x Archival 16mm cans 2000' each 500 x Archival 10pt Folder Stock 10"" LP Record Envelopes  250 x Archival 10pt Folder Stock 17"" LP Record Envelopes  25 x Archival Flip-Top 10"" LP Record Boxes 12 x Archival Flip-Top 16"" LP Record Boxes 3 x Kodak molecular sieves 120 count 12.5 gram packets","Knoxville, Tennessee",Archival storage supplies,2020
19694,PG-271759-20,"Box Storage Shelving Unit      Spacesaver® 4-Post shelving: 48""w x 18""d x 76 ¼"" h.      Eleven levels of shelving, each 5 ¼"" clear between.      Bottom shelf is 8 ¾"" above the floor.      Unit installed by SLM.  Work Space with Drawers      Spacesaver® 4-Post shelving. 60""w x 36""d x 34 ¼"" h       Closed upright design with (6) six 4"" tall trays for storage of oversized flat objects.      Standing height to provide additional workspace.      Unit installed by SLM  One section of Spacesaver® 4-Post shelving. 36""w x 24""d x 76¼"" h.      Three openings with bin dividers, minimum of 21 ¾"" clear.       Unit installed by SLM.","Washington County Museum of Fine Arts, Painting Vault","shelving units, storage unit with pull-out trays",2021
19754,PG-271700-20,archival boxes archival tissue paper archival folders photo sleeves long photo boxes nitrile gloves LED bulbs UV blocking film 3 large custom boxes for target kites artifact tags 3 large shelving units,"Arthurdale, West Virginia",Arthurdale Archival Materials,2021
19792,PG-271776-20,Air Conditioner for the collections room to keep temperature stable,Installed in 2nd floor collections room,Air conditioner,2021
19793,PG-271776-20,Dehumidifier to keep moisture levels stable,Installed in the 2nd floor collections room,Dehumidifer,2021
19794,PG-271776-20,"Modern Office Systems created custom shelving units to fit the unusual attic dimensions of the 2nd floor collections room. This maximized the small space for additional storage, allowed for air flow and permitted room for a table and chair as a work station.",2nd floor collections room,Modern Office Systems shelving units,2021
19851,PG-271802-20,"6 powder-coated steel cabinets to house the Whaling Museum's 34 archival collections, and collection of logbooks, ledgers, and rare books.",The Whaling Museum &amp; Education Center,Storage cabinets for archives,2021
19852,PG-271802-20,2 powder-coated steel shelving units to make space for the Whaling Museum's collection of small and medium sized nautical tools.,The Whaling Museum,Shelving units,2021
19853,PG-271802-20,"2 powder-coated steel cubby units for oversized and medium frames. The museum's existing moving racks were at capacity, and these frames were previously stored resting on the floor of collections storage.  These frames are now housed safely on the cubbies with blue board interleaving.",The Whaling Museum,Cubby Units,2021
19854,PG-271802-20,2 new data loggers for collection storage. The existing units were 10 years old and were becoming unreliable.,The Whaling Museum,Data Loggers,2021
19855,PG-271802-20,"Preservation Supplies to rehouse loose archival material including: folders, interleaving sheets, boxes, blueboard, and eraser crumbs",The Whaling Museum,Rehousing for loose archival material,2021
19856,PG-271802-20,"Rehousing supplies for bound objects: Blueboard, book trays, clamshell boxes, acid-free tissue paper, ethafoam blocks, and foam sheets   (Created custom inserts for fragile books inside pre-made boxes)",The Whaling Museum,Rehousing Bound Objects,2021
19857,PG-271802-20,"Rehousing Textiles: Tyvek cloth, unbleached muslin, acid-free tissue paper, blueboard sheets, boxes, ethafoam, and foam sheets  (rehoused 19th century textiles with adequate support to minimize creases and in material that will not react to the textiles during long-term storage)",The Whaling Museum,Rehousing Textiles,2021
19858,PG-271802-20,"Rehousing Postcards and Photographs: Photo-marking pencil, book weights, plastic sleeves of various sizes that have passed the Photographic Activity Test  (these sleeves were added to existing solander binder-boxes and will allow researchers to view the collections while also reducing handling)",The Whaling Museum,Rehousing Postcards and Photographs,2021
19859,PG-271802-20,"Rehousing Small Nautical Tools: Tyvek cloth, clamshell boxes, blueboard sheets, blueboard trays, ethafoam, foam sheets, acid-free tissue, poly-propylene pellets, and stockinette tubing  (creating custom supports for 50% of the collection of small and medium tools)",The Whaling Museum,Rehousing Small Nautical Tools,2021
19880,PG-252848-17,Purchase: Security system; caution tape; particulate respirators; paper towels; cleaning and washing sponges; spout pail; high-density painters plastic sheeting; trash bags; masking tape; plastic storage bin,Women's Museum of California Collections Department,Emergency/Disaster Preparedness Supplies,2018
19881,PG-252848-17,"Purchase: Yellow Hard Hats; Splash Goggles; Minature Flashlights, first aid kit",Women's Museum of California Collections Department,Emergency/Disaster Preparedness Equipment and Supplies,2018
19882,PG-252848-17,"disposable bib aprons, nitrile gloves",Women's Museum of California Collections Department,Emergency/Disaster Preparedness supplies,2018
21039,HC-278119-21,Huntington Chief Photographer John Sullivan built a lightbox for infrared photography using infrared security lights and clear plexiglass.,"San Marino, CA",Infrared light box,2021
21049,PG-271390-20,"Working with the conservator, Ron Harvey, safe  housing and storage shelving for Good Will-Hinckley historic objects and documents was developed and installed. The product is the safe storage of important materials that tell the history of inland Maine and Good Will Home for Children.","L.C.Bates Museum in Hinckley, ME",Historic Good Will-Hinckley Archives and  Museum Objects,2021
21865,PG-271851-20,Archival quality 6-drawer Viking flat file unit with floor base.,"Main collections storage, Lyman Allyn Art Museum",Viking/ Spacesaver Flat File (3) plus base.,2021
21981,GI-278338-21,"With permission from NEH, we purchased a Graphtec CE7000-1300 vinyl cutter plotter from US Cutter to produce signage for the reinstalled galleries. The Graphtec CE7000 Vinyl Plotter Series is equipped with features such as a registration mark sensor for print &amp; cut jobs, perforation cutting ability and a guaranteed cut accuracy of over 15ft at an extremely competitive and cost effective price point.","Vendor located in Tukwila, WA. Equipment resides at the Spencer Museum of Art.",Graphtec CE7000-1300 Vinyl Cutter Plotter,2022
22003,AKA-279432-21,"With NEH support, we created and printed several thousand trifold pamphlets about the initiative and the enduring relevance of history to CEHC and SPH.",University at Albany-SUNY,Trifold pamphlets,2022
22249,PG-266756-19,Qty. 2 freezers for long term cold storage,"Santa Monica History Museum, Santa Monica, CA",GE Garage-Ready 21.3 cubic foot upright freezers,2022
22267,PG-280771-21,12 data loggers to monitor the climate in the museum.,"Old Stone House Museum, Cyrus Eaton House, Alexander Twilight Administrative Building, Grammar School Building",Hanwell data logger,2022
22268,PG-280771-21,11 metal shelving units to house artifacts.,Grammar School Building Basement,Shelves,2022
22269,PG-280771-21,Epoxy paint,Grammar School Building Basement,Epoxy Paint,2022
22943,PG-280620-21,The storage space in the second floor of the L. C. Bates Museum was enlarged by 6 sheving units that hold newly housed archival and object collections that document and tell the story of Good WIl-Hincckey and childcare. Many of the objects also interpert Maine history..,"L.C.Bates Museum, 14 Easer Road, Hinckly, ME 04944",Storage Housing and  Shelving,2022
