4,GI-50135-09,"For All the World to See: Visual Culture and the Struggle for Civil Rights is organized by the Center for Art, Design and Visual Culture, University of Maryland, Baltimore County in partnership with the Smithsonian National Museum of African American History and Culture. Through a host of media—including photographs, television and film, magazines, newspapers, posters, books, and pamphlets—the project explores the historic role of visual culture in shaping, influencing, and transforming the fight for racial equality and justice in the United States from the late-1940s to the mid-1970s. For All the World to See includes a traveling exhibition, website, online film festival, and richly illustrated companion book.",Maurice Berger,http://www.umbc.edu/cadvc/foralltheworld/index.php,"Comprehensive website of the FOR ALL THE WORLD TO SEE project; it includes an online version of the exhibition, book page, online film festival, full-dress educational resources page (including 11 curriculum guides for K-12, Adults, and Families, and a news and events page. ",,,For All the World to See: Visual Culture and the Struggle for Civil Rights,2010
20,RF-50008-09,Featured project in the opening of the Digital Research Commons in the YRL Research Library at UCLA,Diane Favro,,,,,Visualizing Statues in the Late Antique Roman Forum,2011
90,GI-50172-10,"rganized by the Smart Museum of Art and the Smithsonian Institution's Arthur M. Sackler Gallery, Echoes of the Past represents the culmination of this extraordinary research project. It sheds new light on the original beauty and meaning of the shrines, uniting dispersed objects from Xiangtangshan—considered among the finest achievements of Chinese sculpture—with innovative digital components, including a video installation that provides an immersive, kinetic re-creation of one of the most important caves.","Richard A. Born, J. Keith Wilson, Katherine R. Tsiang",http://smartmuseum.uchicago.edu/exhibitions/echoes-of-the-past/,Smart Museum exhibition page,http://xts.uchicago.edu/,Research project page,Echoes of the Past: The Buddhist Cave Temples of Xiangtangshan,2010
193,GE-50082-08,"For All the World to See: Visual Culture and the Struggle for Civil Rights is organized by the Center for Art, Design and Visual Culture, University of Maryland, Baltimore County in partnership with the Smithsonian National Museum of African American History and Culture. Through a host of media—including photographs, television and film, magazines, newspapers, posters, books, and pamphlets—the project explores the historic role of visual culture in shaping, influencing, and transforming the fight for racial equality and justice in the United States from the late-1940s to the mid-1970s. For All the World to See includes a traveling exhibition, website, online film festival, and richly illustrated companion book.",Maurice Berger,http://www.foralltheworldtosee.org,"Comprehensive website of the FOR ALL THE WORLD TO SEE project; it includes an online version of the exhibition, book page, online film festival, full-dress educational resources page (including 11 curriculum guides for K-12, Adults, and Families, and a news and events page. ",,,For All the World to See: Visual Culture and the Struggle for Civil Rights,2010
194,GE-50082-08,"For All the World to See: Visual Culture and the Struggle for Civil Rights is organized by the Center for Art, Design and Visual Culture, University of Maryland, Baltimore County in partnership with the Smithsonian National Museum of African American History and Culture. Through a host of media—including photographs, television and film, magazines, newspapers, posters, books, and pamphlets—the project explores the historic role of visual culture in shaping, influencing, and transforming the fight for racial equality and justice in the United States from the late-1940s to the mid-1970s. For All the World to See includes a traveling exhibition, website, online film festival, and richly illustrated companion book.",Maurice Berger,http://www.foralltheworldtosee.org,"Comprehensive website of the FOR ALL THE WORLD TO SEE project; it includes an online version of the exhibition, book page, online film festival, full-dress educational resources page (including 11 curriculum guides for K-12, Adults, and Families, and a news and events page. ",,,For All the World to See: Visual Culture and the Struggle for Civil Rights,2010
304,PW-50353-09,"This online exhibit, generated using images from the Prints in the Parlor cataloging and digitization project, considers the ways William Shakespeare (1564-1616) was pictured inside the covers of literary annuals and gift books in the nineteenth-century.   ",Jaclyn Penny,http://www.americanantiquarian.org/Exhibitions/Printsinparlor/shakespeare/index.htm,This is an online exhibition at the American Antiquarian Society website of selected materials cataloged with an NEH grant.,,,Shakespeare in the Parlor,2011
328,PG-50951-10,"""Fashioning an Education:  150 Years of Vassar Students and What They Wore"" May 16-June 12 at the Palmer Gallery, Vassar College (Poughkeepsie, NY)  To celebrate the college's 150th anniversary, the Vassar College Costume Collection will share student research about the complex role that education has played to influence fashion. This exhibition will showcase student clothing from the 1860's to 1950's and photographs of student styles from the 1960's to today.  While this exhibition was not directly a part of our NEH funded project, it would not have been possible without the work done on our NEH project the previous year.",Arden Kirkland,http://vcomeka.com/vccc/exhibits/show/fashioning/introduction,This link leads to the first page of our digital exhibition; from there you can follow the tabs and arrows to navigate through the exhibition.,,,Fashioning an Education,2011
527,TR-50008-08,"In January 1955, celebrated photographer W. Eugene Smith quit his longtime job at Life magazine. In search of greater freedom and artistic license, he accepted a three-week freelance assignment in Pittsburgh that turned into a four-year obsession and, in the end, remained unfinished.  In 1957, he moved out of the home he shared with his wife and four children in Croton-on-Hudson, New York, and into a dilapidated, five-story loft building at 821 Sixth Avenue (between 28th and 29th streets) in New York City's wholesale flower district. The building was a late-night haunt of musicians, including some of the biggest names in jazz—Charles Mingus, Zoot Sims, Bill Evans, and Thelonious Monk among them—and countless fascinating, underground characters. As his epic Pittsburgh project broke down, Smith found solace in the chaotic, somnambulistic world of the loft and its artists.  The exhibition evokes the jazz loft through more than 200 images, several hours of audio, and 16mm film footage of Smith working in the loft. Setting the scene is Smith's gritty photographs of the loft and his pictures of the flower district below his fourth-floor loft window. Viewed alongside his master prints, Smith's 5x7-inch work prints further indicate the breadth and depth of the loft story. Listening stations give access to remastered selections from Smith's reel-to-reel tapes, which caught everything from rousing jam sessions to historic radio and TV broadcasts, loft conversations, and street noise. Concerts and other programming will supplement the exhibition experience.",Sam Stephenson,http://www.nypl.org/events/exhibitions/jazz-loft-project,,,,National tour of The Jazz Loft Project,2010
801,QP-50009-06,"The purpose of this NEH Planning Grant was (1) to undertake research and planning for a three-part traveling exhibition entitled ""Bandits &amp; Heroes, Poets &amp; Saints – Popular Art of the Northeast of Brazil"" and (2) to develop the first part of this project as a prototype exhibit.  These goals were successfully met, and the pilot exhibition subtitled ""Expressions of Faith in the Popular Art of the Northeast of Brazil"" was presented and well received in Detroit during May and June 2007.","Barbara Cervenka, Marion E. Jackson",http://www.convida.org/,"This URL for Con/Vida - Popular Arts of the Americas, contains general information on this non-profit organization as well as information on the NEH-funded prototype exhibition, ""Expressions of Faith in the Popular Art of the Northeast of Brazil"" cited above.  In addition, this site has information on the full exhibition, ""Bandits &amp; Heroes, Poets &amp; Saints – Popular Art of the Northeast of Brazil"" , for which an NEH implementation grant is currently sought.",http://www.banditsandheroes.org/,"This URL is a non-public  preliminary model for the website that is being developed to accompany the exhibition, ""Bandits &amp; Heroes, Poets &amp; Saints - Popular Art of the Northeast of Brazil.""",Expressions of Faith in the Popular Art of the Northeast of Brazil,2006
803,QP-50009-06,"The purpose of this NEH Planning Grant was (1) to undertake research and planning for a three-part traveling exhibition entitled ""Bandits &amp; Heroes, Poets &amp; Saints – Popular Art of the Northeast of Brazil"" and (2) to develop the first part of this project as a prototype exhibit.  These goals were successfully met, and the pilot exhibition subtitled ""Expressions of Faith in the Popular Art of the Northeast of Brazil"" was presented and well received in Detroit during May and June 2007.","Barbara Cervenka, Marion Jackson",http://www.convida.org/,"This website contains general information on our non-profit organization, Con/Vida - Popular Arts of the Americas, as well as information on the NEH-funded prototype exhibition, Expressions of Faith in the Popular Arts of the Northeast of Brazil"" as well as the larger exhibition, ""Bandits &amp; Heroes, Poets &amp; Saints - Popular Art of the Northeast of Brazil"" for which an NEH Implementation Grant is currently sought",http://www.banditsandheroes.org/,"This is preliminary sample of an interactive exhibition website currently underdevelopment for the exhibition, ""Bandits &amp; Heroes, Poets &amp; Saints - Popular Art of the Northeast of Brazil"", for which NEH funding is currently requested.",Expressions of Faith in the Popular Art of the Northeast of Brazil,2006
