67,GN-50300-04,"A two-part series about one of America's most influential and controversial founding fathers — Alexander Hamilton: self-made man, war hero, statesman, financial visionary and political lightning rod.  Hamilton was a leading force behind the Constitution, the architect of a modern economy in America, champion of a strong central government and effective military, and leader of one of the country's first political parties.  Yet today, Hamilton and his accomplishments are neither widely understood nor appreciated.",,Muffie Meyer,"DVD, Film, Web",http://www.pbs.org/wgbh/amex/hamilton/,"Catherine Allan, Muffie Meyer , Ronald H. Blumer, Sharon Sachs, Eric Seuel Davies, Julia Morrison","This website consists of a description of the film, including a transcript, special features, such as exclusive video, quizzes and polls, a photo gallery, timeline, educational resources for teachers and more., This website includes a description of the film, including a transcript, special features, such as exclusive video, quizzes and polls, a photo gallery, timeline, educational resources for teachers and more.",,,Alexander Hamilton,Ronald H. Blumer,2007
69,TI-50098-07,"A 90-minute portrait of the woman who transformed the previously undefined role of the President's wife and became America's ""first"" First Lady. Dolley Madison lived through two wars, knew the first twelve Presidents, and watched America evolve from a struggling young republic to the first modern democracy in the world. At a time when women could neither vote nor participate officially in politics, Dolley Madison, wife of the fourth President, James Madison, became one of the most influential and best loved figures of her day. When she died in 1849 at the age of 81 -  one of the last remaining members of the founding generation - Washington City honored her with the largest state funeral the capital had ever seen. , Dolley Madison is a 90-minute PBS prime-time special that will re-introduce Americans to this charismatic First Lady, examining her role as one of the most influential American women of the early nineteenth century. Viewers will learn how Dolley Madison used her skills as the nation's first great political hostess to create a distinctly American political style—one that embodied the new country's republican values. The documentary will also explore how Dolley became a unifying symbol for the country and helped Americans create a national identity. ",,Muffie Meyer,"DVD, Film, Web",http://www.pbs.org/wgbh/americanexperience/films/dolley/,"Catherine Allan, Muffie Meyer, Julia Morrison, Ronald Blumer, Sharon Sachs","This website consists of information about the film, including a transcript, further reading and acknowledgments. It also includes downloadable educational materials, special bonus videos, a photo gallery, timeline and more.",,,Dolley Madison,Ronald Blumer,2010
81,GN-26248-01,"The complex and beautiful Maya hieroglyphic script was until recently the world's last major undeciphered writing system. This is the story of the 200-year struggle, often hampered by misconceptions and rivalries, that has unlocked the secrets of one of mankind's great civilizations and re-connected modern Maya with their extraordinary past.",,David Lebrun,"Video, DVD",http://www.nightfirefilms.org,Rosey Guthrie,"Web site of documentary production company Night Fire Films, producers of Breaking the Maya Code.",http://www.firstrunfeatures.com/mayacodedvd.html,"Web site of First Run Features, distributors of Breaking the Maya Code.",Breaking the Maya Code,David Lebrun,2008
82,GN-26248-01,50-minute television adaptation of the 2-hour feature film Breaking the Maya Code.  Produced for the NOVA science series on PBS-TV and distributed to worldwide television by PBS International,,David Lebrun,"Video, DVD",http://www.pbs.org/wgbh/nova/ancient/cracking-maya-code.html,Rosey Guthrie,NOVA web site for Cracking the Maya Code,,,Cracking the Maya Code,David Lebrun,2008
114,PD-50006-07,Video with Klallam and English subtitles. The late Klallam elder Ed Sampson tells how the Klallam village of Pysht (at the mouth of the Pysht River) was demolished by a logging company. He and Hazel were a young married couple away in Port Angeles looking for work. They came home to find all their belongings destroyed. The story told in 1992 took place in the 1920's.,,,"Video, Web",http://www.youtube.com/watch?v=m3jUwBI-Mb0,Timothy Montler,,,,How the Klallam Village at Pysht was Demolished,"Timothy Montler, Ed Sampson",2010
197,TR-50033-09,"Nearly a century and a half after his death, Robert E. Lee, the leading Confederate general of the American Civil War, remains a source of fascination and, for some, veneration. This AMERICAN EXPERIENCE film examines the life and reputation of the general, whose military successes made him the scourge of the Union and the hero of the Confederacy, and who was elevated to almost god-like status by his admirers after his death.",Open Access,,"DVD, Web",http://www.pbs.org/wgbh/americanexperience/films/lee/,Mark Zwonitzer,Companion Website,,,Robert E. Lee,Mark Zwonitzer,2010
198,TR-50066-10,"On August 15th, 1914, the Panama Canal opened, connecting the world's two largest oceans and signaling America's emergence as a global superpower. This AMERICAN EXPERIENCE film, using an extraordinary archive of photographs and footage, interviews with canal workers and firsthand accounts of life in the Canal Zone, unravels the remarkable story of one of the world's most significant technological achievements.",Open Access,Stephen Ives,"DVD, Web",http://www.pbs.org/wgbh/americanexperience/films/panama/,Amanda Pollak,Companion website,,,Panama Canal,Michelle Ferrari,2010
199,TR-50006-08,"Freedom Riders is the powerful, harrowing and ultimately inspirational story of six months in 1961 that changed America forever. From May to November 1961, more than 400 black and white Americans risked their lives—and often endured savage beatings and imprisonment—for simply traveling together on buses and trains as they journeyed through the Deep South., This inspirational documentary is about a band of courageous civil-rights activists calling themselves the Freedom Riders. Gaining impressive access to influential figures on both sides of the issue, it chronicles a chapter of American history that stands as an astonishing testament to the accomplishment of youth and what can result from the incredible combination of personal conviction and the courage to organize against all odds.",Open Access,Stanley Nelson,"DVD, Web",http://www.pbs.org/wgbh/americanexperience/freedomriders/,"Laurens Grant, Stanley Nelson",Companion Website,,,Freedom Riders,Stanley Nelson,2010
305,PW-50498-10,"A 10-hour, 3-DVD box set celebrating the dynamic, gender-bending, ethnically diverse West that flourished in early movies. Treasures 5 showcases 40 narrative and nonfiction films, including travelogues, home movies, newsreels, documentaries, and industrial films. The motion pictures are drawn from the preservation work of the nation's foremost film archives?the Academy of Motion Picture Arts and Sciences, George Eastman House, the Library of Congress, the Museum of Modern Art, the National Archives, and UCLA Film &amp; Television Archive—and include movies recently repatriated from the New Zealand Film Archive. Many of the films have not been screened in decades. None has been available before in high-quality video.",,,DVD,http://www.filmpreservation.org/dvds-and-books/treasures-5-the-west,National Film Preservation Foundation,Product page on NFPF website,http://www.worldcat.org/oclc/747276859,WorldCat entry,"Treasures 5: The West, 1898-1938",Scott Simmon,2011
383,RZ-51219-10,"7-8 minute television spot on PBS series that focused on our 2011 American University Archaeology Field School in the Great Dismal Swamp of NC and VA.  Film includes interviews with Dr. Daniel O. Sayers, US Fish and Wildlife Service management, and American University students.",,,"Web, Other",http://video.unctv.org/video/2019487098,"UNC-TV (Raleigh, NC), PBS",,,,North Carolina Now (program name),Jeff Davis (tv interviewer),2011
