14,RF-50008-09,A presentation of digital simulations of ancient Rome,Diane Favro,10/6/2011,"Penn Humanities Forum, University of Pennsylvania",,,,,"Building Ancient Rome, Bit by Byte"
18,RF-50008-09,Casestudies in the use of digital reconstructions for research and teaching.,Diane Favro,2/2/2010,University of Iowa,,,,,Digital Explorations of Past Worlds: From Karnak to Ancient Rome
59,PG-51346-11,"A one and a half hour training session was implemented for the Fairbanks Museum's staff, volunteers and members to educate them on the complexities of the unique ""Bug"" artwork: its conservation and care requirements","Helene Gillette-Woodard, Williamstown Art Conservation Center",03/01/2011,Fairbanks Museum &amp; Planetarium,http://fairbanksmuseum.org/bugart,"The Fairbanks Museum is home to the entire collection of mosiacs known as ""Bug Art"" created by John Hampson. Using thousand of beetles, moths and butterflies, meticulously postioned on wood and lovingly framed, his creations are a unique reflection of this artist's vision and precision.&#x0D; ",,,Best Practices in Handling &amp; Housing Artifacts Created from Insects and Their Unique Care
189,RA-50033-05,The Virginia N. Brinkley Lecture,Betsey A. Robinson,10/14/10,"College of William and Mary, Williamsburg, VA",,,,,Nature and the City:  The Fountains of Ancient Corinth
203,GM-50163-04,"Public film series (6 films) held May 2 - 6, 2011 at the Laman Library in North Little Rock in conjunction with the NEH on the Road exhibition ""Our Lives, Our Stories.""  Series explored different experiences of WWII.",Laman Library,5/2/2011,"William F. Laman Public Library, North Little Rock, AR",http://events.todaysthv.com/Our Lives Our Stories On Screen /175517322.html,"Direct link to the on-line article doumenting and announcing the series. ",http://www.lamanlibrary.org/page/37/exhibits,"Website for exhibitions at the William F. Laman Library; still includes an announcement for the showing of ""Our Lives, Our Stories,"" which occurred April 6 - May 25, 2011","Our Lives, Our Stories On Screen!"
204,RZ-50924-08,"The cave,  with  radiocarbon dates  in the  6th millenium BC,  is  located  in southeast  Italy (Apulia) and  holds evidence of burials and  other  rituals  connected  with  perhaps  a  water  cult.  The  cave  has  two  chambers; the upper holds the  burials,  the  lower  is filled  with stalagtites and stalagmites, a  pool of water  carved  into  the  rock, and a  quantity  of pottery  sherds.",Ernestine S.  Elster,10/21/2010,"Bruce Museum, Greenwich, CN",http://www.ioa.ucla.edu,The Cotsen  Institute of Archaeology at UCLA maintains  the  web site where all  of  the archaeologists on campus  have designed  individual web pages  and links  as  do  we for Scaloria  cave  .,,,"Scaloria Cave: Found, Lost, and Found Again"
205,GM-50163-04,"Susan Sessions Rugh, author of ""Are We There Yet?: The Golden Age of American Family Vacations,"" will speak about the rise of family travel in post-World War II America. Rugh examines how postwar prosperity and mass consumption-aided by paid vacation, car ownership, and the new interstate highway system-initiated the ritual of the family road trip. This lecture is being held in conjunction with our traveling exhibit, ""Our Lives, Our Stories: America's Greatest Generation.""&#x0D; (The NEH on the Road traveling exhibition)",Susan Sessions Rugh,3/3/2011,"The Park City Museum, Park City, UT",http://www.facebook.com/event.php?eid=114433295300299,"Facebook link to the announcement of the lecture at the Park City Museum, along with a picture of Session's book, which was published by the University of Kansas Press.",http://www.parkcityhistory.org/exhibits/our-lives-our-stories-americas-greatest-generation/,"Web link to the Park City Museum's archived page announcing their hosting of the NEH on the Road exhibition ""Our Lives, Our Stories."" Page also contains other curriculum and education links for the exhibition.","""Are We There Yet?: The Golden Age of American Family Vacations"""
214,RA-50033-05,"Vanderbilt University, Nashville, TN, February 2008.",Betsey A. Robinson,2/1/08,Vanderbilt University,,,,,"Contesting Supremacy: Landscapes, Arts, and Experiences of Sacred Games in Hellenistic and Imperial Greece"
217,RA-50033-05,"Tea Talk at the American School of Classical Studies at Athens, Athens, Greece",Betsey A. Robinson,2/2/06,American School of Classical Studies at Athens,,,,,Histories of Peirene
227,RA-50033-05,Tea Talk at the ASCSA examines Pausanias' arrangement and expression of his material and evaluates his authorial choices in light of the contemporary literary currents of the day and the cultural milieu of the Roman Empire in the time of Hadrian and the Antonines. The descriptions offered in the Periegesis Hellados are also examined in the context of the archaeo- logical evidence available for the places Pausanias visited. This study reveals Pausanias to be a surprisingly sophisticated literary craftsman and a unique witness to Greek identity at a time when that identity was never more conflicted.,Professor William Hutton,3/20/07,"American School of Classical Studies, Athens, Greece",,,,,Travel and Greek Identity in the Time of Hadrian
229,RA-50033-05,Lecture at Open Meeting,Professor Jeffrey S. Soles,3/11/11,"American School of Classical Studies at Athens, Athens, Greece",,,,,"The Goddess and the Ancestors at Mochlos, Crete"
