63,TR-50152-10,"Growing up is hard to do, and for young Arabs, it can be a nightmare. The region's bulging youth population is facing a bleak economic future. Plus, they live in a seething cauldron of tribal, national, religious, social, and political forces that simultaneously pull east and west. It was Paul Gauguin who asked, Where Do We Come From? What Are We? Where Are We Going? Those are some of the very questions young Arabs are asking themselves, and the answers have implications far beyond the region.",,2010,,"Radio, Web",http://americaabroadmedia.org/programs/view/id/147,,Aaron Lobel,,,Young and Restless:  Youth Identity in the Arab World,
65,TR-50152-10,"Sitting in limbo is where many young Arabs find themselves today. Nearly a quarter of Arabs under 30 are jobless. Long gone are the days of a guaranteed government gig, and the private sector is far from filling the gap. Today, Arab youth are searching for work and waiting for weddings. Some just want to leave the region – and its long unemployment lines – altogether.  At best, unemployment and flagging Arab economies lead to a generation of bored and frustrated youth. At worst, economic conditions create a breeding ground for extremism and instability.",,2011,,"Radio, Web",http://americaabroadmedia.org/programs/view/id/149,,Aaron Lobel,,,Overlooked and Underpaid:  Arab Youth in Today's Economy,
66,TR-50152-10,"A generation ago, young Arabs went to the streets to protest repressive governments. Now, they hop on the information highway – blogging and tweeting their discontent. They upload music, download protests. But this generation is up against rulers who know a thing or two about staying in power – and they are keeping the kids in check. It's an old battle on new ground – young activists fight to express themselves as Arab governments find better ways to outflank them.",,2011,,"Radio, Web",http://americaabroadmedia.org/programs/view/id/151,,Aaron Lobel,,,Words and Deeds:  Freedom of Expression and Arab Youth,
70,GN-25751-99,an 11-hour biographical documentary radio series narrated by actress Susan Sarandon this program was heard on over 700 public radio outlets in the United States and is considered one of the most highly successful specials in the history of public radio.,,2005,Steve Rowland,Radio,http://wfmt.com/bernstein,website of WFMT Fine Arts Radio Network,Steve Rowland,,,Leonard Bernstein: An American Life,"Steve Rowland, Larry Abrams"
201,GM-50163-04,"Go back to 1936 with Shervena Grubbs, her twin sister, and their daddy on a train to Little Rock in ""Couldn't Sleep a Wink.""&#x0D; Let's get in a car with Wetzel LaGrone in the 1940's, as he hitches a ride to a bigger world in ""The Road to Carthage."" &#x0D; Jay Fredrich takes us back to the 1940's with a picnic, a boat, and an untimely goodbye that culminates 50 years later with a surprising ""Hello"" in ""Do You Remember Me?""&#x0D; &#x0D; Tales from the South is a 29-minute weekly radio show recorded in front of a live audience at Starving Artist Cafe' in the Argenta Arts District of North Little Rock, Arkansas. Each week, everyday Southerners read their own true story, unrehearsed and live. Local musicians play during dinner, and blues guitarist Mark Simpson plays on the show. Stories range from funny to sad, to enlightening to touching. Writers are all from the South. Although the show itself is unrehearsed, the literary memoirs have been worked on for weeks leading up to the recording. All stories are true and told by the Southerners who lived them",,2011,Paula Morell,Digital File,http://www.prx.org/pieces/59174-tales-from-the-south-031-the-greatest-generation,Link to the announcement page on the website of Tales of the South; with links to the broadcast and PDFs of the written transcripts,Paula Morell,,,Tales from the South 031: The Greatest Generation - for NEH on the Road,"Jay Fredrich, Shervena Grubbs, Wetzel LaGrone"
202,GM-50163-04,"The second show featuring stories from the Greatest Generation. Alma Hahn prays for deliverance from a snake-handling church service, a man speaks to his future daughter in a letter written during WWII, and Luella Faith remembers her middle name as her ship is bombed by Germans.&#x0D; &#x0D; Tales from the South is a 29-minute weekly radio show recorded in front of a live audience at Starving Artist Cafe' in the Argenta Arts District of North Little Rock, Arkansas. Each week, everyday Southerners read their own true story, unrehearsed and live. Local musicians play during dinner, and blues guitarist Mark Simpson plays on the show. Stories range from funny to sad, to enlightening to touching. Writers are all from the South. Although the show itself is unrehearsed, the literary memoirs have been worked on for weeks leading up to the recording. All stories are true and told by the Southerners who lived them",,2011,Paula Morell,"Radio, Web",http://www.prx.org/pieces/62985-tales-from-the-south-32-greatest-generation-ii,Direct link to the PRX page with the KUAR broadcast and pdf attachements of the transcripts,Paula Morell,,,Tales from the South 32: The Greatest Generation - NEH on the Road,"Luella Faith, Alma Hahn"
357,RA-50003-03,"By the nineteenth century, philhellenic Europeans had appropriated the classical Greek world as their distinct cultural patrimony. However, sources composed in the late 1600s and early 1700s by Ottoman dignitaries, Greek Orthodox intellectuals, and French and English travelers reveal a more fluid period when the Greco-Roman tradition exerted an influence on the perceptions all these (sometimes overlapping) groups had of themselves and one another. Greek, Ottoman, French, and English literary texts, archival records, and visual sources thus reveal the cross-cultural currents and ties connecting members of the Ottoman intelligentsia with their counterparts in Paris and London in the seventeenth and eighteenth centuries. Lecture given by Karen Leal, Kluge Fellow.",,2009,,Web,http://www.loc.gov/today/cyberlc/feature wdesc.php?rec=4742,,,,,"Between European and Ottoman: Hellenic Grand Dragomans, Roman Subjects, and Classical Ruins at the Turn of the 18th Century ","Leal, Dr. Karen"
382,RZ-51219-10,Dr. Daniel O. Sayers was interviewed about his archaeological work in the Great Dismal Swamp on maroon communities for NPR station in North Carolina (Raleigh) in July 2011; ca. 20 minutes of air time.,,2011,,Radio,,,National Public Radio,,,The State of Things,
526,TR-50008-08,"From 1957 to 1965, the master photographer W. Eugene Smith had a studio and darkroom in a dilapidated building on 6th Avenue north of 28thstreet in Manhattan.  The Jazz Loft, as it became known, had already become a favored spot for jam sessions by hundreds of jazz players of the day.  During his years there, Smith became obsessed with the goings-on in the building, musical and otherwise, and he taped and photographed them with an unimaginable thoroughness, capturing thousands of hours of sound as well as tens of thousands of images.  The sounds and stories that emerged from those years are the basis for The Jazz Loft Project, a ten-part radio series.  Hear the whole story of the Jazz Loft years in The Jazz Loft Project Radio Series.  Original air dates: 11/16/09-11/25/09",,2009,,"Radio, Digital File, Web",http://www.wnyc.org/shows/jazz-loft/2010/feb/01/,"The website for The Jazz Loft Project Radio Series  ",Sara Fishko,,,The Jazz Loft Project Radio Series,Sara Fishko
3044,FB-54222-09,na,,2014,,Radio,http://http://www.npr.org/2014/03/28/295254039/this-year-biblical-films-are-fruitful-and-multiplying,,NPR Morning Edition,,," “This Year, Biblical Films Are Fruitful And Multiplying”",Neda Ulaby
951,FB-52999-07,"In today's Academic Minute, Dr. Elise Lemire of Purchase College examines how freed slaves shaped a town at the center of both the American Revolution and American Literature. &#x0D; ",,2011,,Radio,http://www.publicbroadcasting.net/wamc/news.newsmain/article/0/0/1745727/Academic.Minute/Dr..Elise.Lemire..Purchase.College..State.University.of.New.York,WAMC Northeast Public Radio's website,"Alan Chartock ",,,Academic Minute Segment on Black Walden,Elise Lemire
1040,FT-54176-06,"First CD of the Czech country/bluegrass/rock/fusion band Druha Traval to mainly feature definitive English language versions of singer-songwriter-frontman Robert Krestan's songs. I did the translations, wrote the liner notes, helped with recording.",,2011,,CD,http://www.druhatrava.com,Druha Trava's US web site,Lubos Malina,http://www.cdbaby.com/cd/druhatrava,CD's US distributor,Shuttle to Bethlehem,"Ruth Ellen Gruber, Druha Trava"
1252,FA-37023-02,"An interview with Diane Rehm on National Public Radio's ""The Diane Rehm Show.""",,2011,,Radio,http://thedianerehmshow.org/shows/2011-09-07/joseph-mccartin-collision-course,,,,,Diane Rehm Show,
1337,HD-51244-11,"If the semantic web becomes an everyday reality, we'd have a web that would produce better answers for us. But what if you're not sure of the question in the first place? Aditi Muralidharan wanted to know if it was possible to create a search engine that will intuitively know as it's searching what you actually need. Nora speaks to Aditi about her project WordSeer – a search tool that analyzes language patterns in an effort to build intuition into the search engine. (Runs 5:57)",,2011,,Radio,http://www.cbc.ca/spark/2011/06/spark-153%E2%80%93-june-26-29-2011/,Description of segment on Canadian science radio show Spark's website.,,,,"Building Intuition Into Search ",Aditi Muralidharan
1449,RZ-50071-03,"Chants characteristic for the medieval liturgy of St. Lorenz in Nuremberg, Germany, were recorded for the first time by the Schola Hungarica, a leading ensemble for the performance of medieval chant. One of the highlights of the repertoire, also a world premier recording, is the mass formula for the feast of the Holy Lance, the most important festival celebrated annually in the city of Nuremberg between 1424 and 1524. Portions of this performance were used in a television documentary about the Holy Lance aired on Channel 2 of the BBC and on the Discovery Channel. Other chants recorded were taken from the formulas of saints venerated locally, for example, Saint Sebaldus, Saint Deocarus, Saint Martha, Saint Monica and Saint Lawrence. The recordings was produced in collaboration with Bavarian Radio, Studio Franconia and it is marketed by HNH International (Naxos).",,2005,Corine Schleif,CD,http://www.public.asu.edu/~cschleif/Recording%20Session.htm,Project web site,Volker Schier,,,Das Gänsebuch (The Geese Book): German Medieval Chant,
2093,LT-50065-09,"Ernie L. Westfield played for the Cubs organization in 1958 when he finished high school. He is former Negro League baseball player who pitched for the Birmingham Black Barons. He was the starting pitcher the last East-West All-Star game August 20, 1960, at Comiskey Park in Chicago. After baseball, Westfield received a bachelor's degree from Eastern Illinois University and worked with the Illinois Department of Employment Security for 31 years retiring in 1999. Now, he is the CEO of ELW Enterprise, which specializes in Negro League memorabilia.This is the final of four public lectures as part of the Pride and Passion traveling panel exhibit.",open access,2012,,Digital File,http://www.mlb.ilstu.edu/assets/podcasts/ErnieWestfield2012spring.mp3,,,http://library.illinoisstate.edu/podcasts/,,Negro League Baseball: Yesterday and Today,
2094,LT-50065-09,"Adrian Burgos Jr., is an associate professor of history at the University of Illinois, specializing in U.S. Latino history, urban history, and sport history. His first book, ""Playing America's Game(s): Baseball, Latinos, and the Color Line,"" received the inaugural Latino/a Book Award from the Latin American Studies Association and was also a Seymour Medalist Finalist. This is the third of four public lectures as part of the Pride and Passion traveling panel exhibit.",open access,2012,,Digital File,http://www.mlb.ilstu.edu/assets/podcasts/AdrianBurgos2012spring.mp3,,,http://library.illinoisstate.edu/podcasts/,,From Cuban Giants to Cuban Stars: The International World of Black Baseball,
2095,LT-50065-09,"Krock discusses his project that began in 2003 as an effort to provide proper grave markers to the unmarked graves of former Negro League baseball players and associates. The project has been featured by ""The Chicago Tribune,"" ""ESPN,"" ""National Public Radio,"" ""The New York Times,"" ""NBC,"" and ""Sports Illustrated.""&#x0D; ",open access,2012,,Digital File,http://www.mlb.ilstu.edu/assets/podcasts/JeremyK20120418.mp3,,,http://library.illinoisstate.edu/podcasts/,,The Negro Leagues Baseball Grave Marker Project,
2319,CZ-50266-12,"Video Recording of Rick Bragg at OCTC on September 6, 2012",,2012,,Web,"http://www.youtube.com/user/OCTCLibrary?feature=CAgQwRs%3D ",,OCTC TV,,,Rick Bragg at OCTC,Rick Bragg
2334,BI-50147-11,"The Dr. Betsy podcast series provides information about primary sources and using them in the classroom. In this episode, Dr. Betsy and Becki Trivison talk about Monuments and Memorials, based on research they did for the NEH Landmarks War of 1812 workshops",open access,2012,,Digital File,http://www.creativelearningfactory.org/programming/ask-dr-betsy-podcasts,,Ty Pierce,,,Dr. Betsy Monuments and Memorials Podcast,Betsy Hedler and Becki Trivison
2423,AC-50107-11,"Hour-long  ""Where We Live"" program on WNPR, Connecticut's NPR affiliate, in which Dr. Jeffrey Partridge and Capital student Karen Taylor talk with host John Dankosky, UConn president Susan Herbst, and Trinity dean Fred Alford about the NEH-funded Hartford Heritage Project as a model of student engagement with downtown through curricular design.",open access,2012,,Radio,http://www.yourpublicmedia.org/node/23023,,Catie Talarski,,,"Bringing a College Campus Downtown: UConn, Capital, Trinity, Can Schools Help Revitalize a City",John Dankosky
