44,PF-50028-10,"Resulting from an NEH funded review of art storage spaces in Old College and Mechanical Hall, this report provides recommendations for the most efficient use of spaces, and the best possible conditions for collections preservation.",,Watson and Henry and Associates; Wendy Jessup and Associats,08/26/2011,,,,,,Space Improvements Plan Report for University Museums at Old College and Mechanical Hall
78,PA-51545-06,"On October 25 - 26, 2006, Walter Newman, Director of Paper Conservation at the Northeast Document Conservation Center and the author of this report, visited the New Hampshire State Library to examine the collection of maps and atlases. Janet Eklund, Administrator of Library Operations, guided the visit.&#x0D; &#x0D; The maps and atlases were identified as a priority during the preservation survey performed by Millie O'Connell in 2002–3. The purpose of the present survey was two-fold: 1) to examine all the maps and atlases and incorporate their condition into the database, assigning them a priority for conservation treatment, and 2) to make recommendations for measures that can be taken in-house to improve the preservation of the map and atlas collection as a whole. The data pertaining to the first goal were turned in at the conclusion of the visit. The latter goal depends heavily on improving storage conditions for these materials.  &#x0D;  &#x0D; ",,Walter Newman,"10/25/2006, 11/30/2008",,,,,,"Historic Maps &amp; Atlases Collection Assessment report, Collection Survey"
79,PA-24333-02,"The building and collections of the State Library of New Hampshire (NHSL) in Concord, NH, were surveyed for preservation planning purposes by the writer of this report, Millie O'Connell, Preservation Consultant to Northeast Document Conservation Center (NEDCC) in Andover, MA.  Conducted on December 16 &amp; 17, 2002, the survey was carried out with support from the National Endowment for the Humanities (NEH).  While the primary focus of the survey was the special collections, much information in this report can also be applied to the remainder of the Library's research collections. &#x0D; &#x0D; The special collections of the NHSL contain a wealth of materials that document important people, places, and events in New Hampshire history, some of them unique, rare, or otherwise valuable.  They include historical State documents, NH imprints, archives and manuscripts, musical scores, medical and scientific studies, NH town and family histories, maps, photographs, and artwork.&#x0D; ",,Millie O'Connell,12/17/2002,,,,,,Preservation Survey Report for NH State Library
80,PG-50766-10,"Ms. Wender spent four days in November 2010 examining approximately 550 monographs, pamphlets, and serials.  The goal of the survey was to assess the physical and chemical stability of bound materials in the collections and to make recommendations for the preservation and conservation of individual objects as well as for the bound collection as a whole.The volumes examined were selected from two discreet collections and included early New Hampshire imprints and volumes in the Library's Rare Book Collection.  Materials in the two collections were transferred to the Library from other collections, acquired by gift, or purchased.  The majority of volumes examined are monographs or pamphlets, but a few serials, government documents, a record book and several documents were examined as well.&#x0D; &#x0D; ",,Debra Wender,02/04/2011,,,,,,Survey Report on pre-1830 bound imprints at the NH State Library
316,PG-50928-10,"On March 22-23, 2010, Lance Mayer and Gay Myers conducted a survey of the collection of paintings at the New London County Historical Society. They examined and wrote a separate report for every oil painting, including recommendations for conservation treatment and a prioritization of the conservation needs of each painting. Also included were estimates of the costs of treatments, valid for the year of the examinations. The principal work of the project has been providing the individual examination reports for each painting. However, the report also included brief generalizations about the condition of the collection as a whole and recommendations for storage and display.",,"Gay Myers, Lance Mayer, Lance Mayer and Gay Myers",2010/04/30,,,,,,Report of Examination of Paintings at New London County Historical Society
445,PG-50886-10,This plan covers emergency and disaster preparedness situations and what library staff should do in the event of the varying types of situations.,,"Thomas F.R. Clareson ",11/07/2011,,,,,,"Emergency and Disaster Preparedness Plan: Schmidt Library, York College of PA"
561,GE-50288-10,"The Museum coordinated a stimulating, multi-perspective conversation among the national and regional scholars and staff to present the developing exhibition framework and facilitate discussions exploring the violations of civil liberties and injustices imposed upon Japanese Americans during World War II.",,Patricia Wakida,04/09/11,,,,,,Notes from the Regional and National Scholars Meeting
929,HD-50776-09,"Wrote about challenges faced during the period of NEH ODH grant.  More specifically, focused on the digital divide that makes it difficult for Native American communities to obtain grants in digital humanities and problems with broad band access in Indian Country.  Also wrote about need to raise consciousness concerning the lack of cultural diversity in digital humanities",,Timothy B. Powell,4/1/2010,,,,,,"""The Digital Humanities Viewed From Indian Country"" (White Paper for NEH ODH)"
930,HD-50776-09,"A white paper for the NEH ODH recounting the activities during the grant period-- a conference at Minnesota Historical Society, dissemination of information, building partnerships between Penn Museum, American Philosophical Society, Minnesota Historical Society, White Earth Tribal and Community College, Leech Lake Tribal and Community College, Fond du Lac Tribal and Community College.",,Timothy B. Powell,4/1/2010,,https://ojibwearchive.sas.upenn.edu/,"Gibagadinamaagoom: An Ojibwe Digital Archive is a website edited by Timothy B. Powell that contains materials related to Ojibwe culture from Penn Museum, Minnesota Historical Society, American Philosophical Society, National Archives, videos of Ojibwe wisdom keepers, etc.  The site also has been developed with the assistance of 2 NEH HITCU grants awarded to White Earth Tribal and Community College and Leech Lake Tribal College.",,,"""Gibagadinamaagoom: An Ojibwe Digital Archive"""
1560,PG-50815-10,"This report is a comprehensive assessment of the audio-visual collections currently held in Carnegie Hall's Archives.  The assessment isthe first step toward developing a plan for preserving this vital collection, which includes audio and video recordings of thousands of concerts that have taken place at Carnegie Hall, television broadcasts of performances, and master tapes of Carnegie Hall's music education programs.  Much of this collection is in danger of becoming unusable because of obsolete formats and unusable media.",,AudioVisual Preservation Solutions (AVPS),7/1/2010,,http://www.avpreserve.com,"Website of AVPS, a consulting firm that provides resources needed by content caretakers to preserve, access, and distribute their audiovisual assets. ",,,Carnegie Hall Audiovisual Collection Assessment and Recommendations
