3,PW-50312-09,"With generous funding from NEH in 2009, the Virginia Foundation for the Humanities was able to create content related to the topics of Virginia's Precolonial and Colonial history and culture. Assets created, edited, and aggregated include digitally born entries reflecting contemporary scholarship related to the content focus, unique digital assets (e.g. portraits, manuscripts, and audio/video material) from partnership organizations, and transcribed primary documents to add layers of depth and context to the topical entries.",Matthew Gibson,http://www.encyclopediavirginia.org,"Encyclopedia Virginia is a publicly accessible online publication of the Virginia Foundation for the Humanities. As a web publication, the Encyclopedia adds an entirely new dimension to the work done by VFH over the last thirty years. With the mission to develop the civic, cultural, and intellectual life of the Commonwealth by creating learning opportunities for all Virginians, VFH brings together the resources and content to make the Encyclopedia a valuable tool for exploring the people, history, government, economy, and culture of Virginia. Currently on the site users will find deep and broad coverage in topics related to Precolonial and Colonial history, Civil War history, and Twentieth-century history.",,,Encyclopedia Virginia,2009
25,RZ-50577-06,"Website reporting the results of NEH sponsored research by historian Schwartz and Geographers Gregory (Lancaster University, England) and Thevenin (University of Burgundy, France): pre-publication papers, conference papers, and selected essays by students from courses taught by Schwartz at Mount Holyoke College","Thomas Thevenin, Robert M. Schwartz, Ian N. Gregory",http://www.mtholyoke.edu/courses/rschwart/railways/,Website reporting the results of NEH sponsored research,,,http://www.mtholyoke.edu/courses/rschwart/railways/,2010
36,RQ-50458-10,"This Website for the John Dickinson Writings Project gives an overview of the Project, including scope, staff, funding, and advisory board. It also includes a reliable biography of Dickinson and a selected bibliography of secondary works.","Mark Richard Lauersdorf, Jane E. Calvert, Robin Jones",http://dickinsonproject.rch.uky.edu/,This URL takes users to the main page of the Dickinson Writings Project Website.,http://dickinsonproject.rch.uky.edu/about.php,"This URL takes users to the ""About the Project"" page.","John Dickinson Writings Project Website, John Dickinson Writings Project",2010
48,AP-50077-11,"This is the project website for the Picturing America School Collaborations Projects conference ""Picturing America: Transitions from Rural to Urban Life."" The Ohio Historical Society received this grant in 2011., This is the project website for Picturing America grant, American Transitions from Rural to Urban Life.  The Ohio Historical Society received this grant in 2011.",Ohio Historical Society,http://americantransitionspicturingamerica.wordpress.com/,"This is the project website for the Picturing America School Collaborations Projects conference ""Picturing America: Transitions from Rural to Urban Life."" It contains agendas, lesson plans generated by participants and webinar recordings., This is the homepage for the project website for Picturing America grant, American Transitions from Rural to Urban Life.  It contains agendas, lesson plans generated by participants and webinar recordings.",,,"Picturing America: Transitions from Rural to Urban Life, American Transitions from Rural to Urban Life",2011
49,ES-50347-10,Website for the Voices Across Time Institute and curriculum support guide,Center for American Music,http://www.library.pitt.edu/voicesacrosstime/index.html,,,,Voices Across Time,2011
58,HD-51129-10,GeoHistorian project website,Mark van 't Hooft,http://www.rcet.org/geohistorian,project website,,,GeoHistorian Project Site,2011
68,PJ-50064-10,Digitized newspapers from New Mexico,University of New Mexico,http://chroniclingamerica.loc.gov/,Chronicling America for Digital Newspapers for New Mexico,,,Chronicling America for Digital Newspapers,2011
76,PW-50478-09,"Women's World in Qajar Iran (WWQI) is a comprehensive digital archive and website that preserves, links, and renders accessible primary source materials related to the social and cultural history of women's worlds during the reign of the Qajar dynasty (1796 – 1925) in Iran. The WWQI project addresses a significant gap in the scholarship related to this important time in Iran's history by making available writings and other personal documents created by, and related to the lives of, women during the Qajar era. Primary source materials -- digitized and rendered accessible to scholars worldwide via a digital archive, www.qajarwomen.org -- include unpublished poetry, essays, and treatises; travelogues; private letters; marriage contracts; photographs and portrait paintings; calligraphies; and legal documents.  A number of collections, comprised of similar materials at museums and archives in Iran, have also been added through collaboration with local institutions.   ","Director, Afsaneh Najmabadi, Project Manager, Ramyar Rossoukh",http://www.qajarwomen.org,,,,women's worlds in Qajar Iran,2010
77,PW-50296-09,"The site offers bibliographic information and digital facsimiles for selected collections of manuscript codices, texts, documents, papers, and leaves held by Penn's Rare Book &amp; Manuscript Library as well as those privately owned by Lawrence J. Schoenberg (C'53, WG'56). Penn holds over 2,000 Western manuscripts produced before the 19th century; medieval and Renaissance manuscripts comprise approximately 900 items, the earliest dating from 1000 A.D. Its holdings of Indic manuscripts is the largest in the Western hemisphere with more than 3,000 items. The Lawrence J. Schoenberg Collection emphasizes secular topics, especially science and mathematics, and includes tablets from the 21st to 18th centuries B.C. ",Nancy Shawcross,http://dla.library.upenn.edu/dla/medren/index.html,front page for the site,,,Penn in Hand: Selected Manuscripts,2009
83,PR-50019-08,"Website for our text mining for history focus group, with pointers to exemplary projects and commentary.",Roy Rosenzweig Center for History and New Media,http://nexthistory.org,,,,Next History,2009
